#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                    dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_v       5396.3673776841115    All      2.113519454043619          0.35924815205956584        0.45666713740974973      -0.5510449199214714        
Zeropoint     VEGAHST|UVOT|UVOT_b       4343.476128915568     All      -0.35737855957138          0.4455954205670132         -0.45785573549654845     0.24112304377047755        
Zeropoint     VEGAHST|UVOT|UVOT_u       3465.1519165676946    All      -0.755762676469578         0.19356122746989612        0.007565865230074742     0.30956365715830436        
Check         All|All|All               All                   All      1.0003782180026608         0.9984048000964751         0.006377267143276022     -0.0003582189926895074     
Lambda        VEGAHST|UVOT|UVOT_v       5396.3673776841115    All      0.0004357910106250272      7.647080454839488e-05      6.986365446077871e-05    -0.00011392471837638621    
Lambda        VEGAHST|UVOT|UVOT_b       4343.476128915568     All      -0.00019021224578496534    -0.00019400487780322695    -0.002391638076722704    -0.00010796320798999091    
Lambda        VEGAHST|UVOT|UVOT_u       3465.1519165676946    All      6.341009537125618e-05      -8.574509386875324e-05     -0.000550755766012825    -7.316245250285553e-05     
MWEBV         All|All|All               All                   All      -1.548780684668305         -3.9164289565856603        0.07712022201677993      -0.7677794141697253        
Redshift      All|All|All               All                   All      0.8637146067407824         0.6565052304130958         -1.187907377916475       -0.12050576127108914       
