#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3972.1587970935343    All      -0.8781697704843338        0.5609765906765318         -0.09332195071675153      0.46461278629077224        
Zeropoint     AB|PS|PS_i                6109.827008057028     All      1.1702875541096813         0.00807179901283206        -0.16015256789724264      -0.3857187807487856        
Zeropoint     AB|PS|PS_z                7021.68207174859      All      0.4400073084248896         -0.034550292014934314      -0.011644360484963645     -0.1550986572723987        
Zeropoint     AB|PS|PS_r                5044.372018667205     All      0.26441935657667           0.4641798462818869         0.26584119001122897       0.07693183476767274        
Check         All|All|All               All                   All      0.9965444486269073         0.9986779439563165         0.0007223109122711513     0.0007271830372607146      
Lambda        AB|PS|PS_g                3972.1587970935343    All      -0.0008369765779832341     0.000351677803369314       -0.0010053324026031319    0.00034232046977065767     
Lambda        AB|PS|PS_i                6109.827008057028     All      -5.176536872895064e-05     -4.5790191253581765e-05    -0.0004361240767973184    -1.7515902620802524e-05    
Lambda        AB|PS|PS_z                7021.68207174859      All      -0.00021473505187415804    -1.6702927368273076e-05    -0.0002753287106727422    5.2218922196651244e-05     
Lambda        AB|PS|PS_r                5044.372018667205     All      3.2322942552470054e-05     9.306421264071026e-06      -0.0004062335686986979    -2.562557661241715e-05     
MWEBV         All|All|All               All                   All      -0.5081031904996016        -3.1230214320075333        0.057501757044159385      -0.8491988601931212        
Redshift      All|All|All               All                   All      5.162480596248535          -0.26486144677217993       -4.438737413107363        -1.965944322024894         
