#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                3972.1587970935343    All      -0.8782730624998397        0.5290872209531727         -0.259699435773904         0.44683435203647803        
Zeropoint     AB|PS|PS_i                6109.827008057028     All      1.1417566394641812         0.009355270068489574       -0.16156740647567677       -0.3760703922094004        
Zeropoint     AB|PS|PS_z                7021.68207174859      All      0.4435805227084854         -0.025744968671048696      0.06145854368964818        -0.15013214035636885       
Zeropoint     AB|PS|PS_r                5044.372018667205     All      0.2896124781453244         0.4859800958884719         0.3620762386120503         0.08012119297491804        
Check         All|All|All               All                   All      0.9966765778181513         0.9986776182390855         0.002267940052117723       0.0007530124456268106      
Lambda        AB|PS|PS_g                3972.1587970935343    All      -0.000823968772539706      0.0003461035806426577      -0.0010252081695666148     0.00033538072767157575     
Lambda        AB|PS|PS_i                6109.827008057028     All      -4.764743344147549e-05     -3.6712440068730016e-05    -0.00033605161126647784    -1.143455288949902e-05     
Lambda        AB|PS|PS_z                7021.68207174859      All      -0.00020712291417717348    -1.8243885790824944e-05    -0.00028601105534317175    4.876075368219349e-05      
Lambda        AB|PS|PS_r                5044.372018667205     All      -1.6197047453160163e-05    1.157917062184513e-05      -0.0004520033408335242     -1.1123205087683235e-05    
MWEBV         All|All|All               All                   All      -0.5080600771123116        -3.1231791900044215        0.05930429483856501        -0.8491838516284125        
Redshift      All|All|All               All                   All      5.1179315391028535         -0.18567370936182215       -4.1256031810433855        -1.9116654346148598        
