#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5646.630617133262    All      0.27382330569658997       0.4075825430804869         -0.5842141025871328        0.017498991963993404       
Zeropoint     AB|PS|PS_i                6839.292605979901    All      1.1174713605218032        -0.22691760198672029       -0.01091866011071474       -0.43839896382530663       
Zeropoint     AB|PS|PS_z                7860.016038346649    All      0.39220308683228666       -0.041754807704563746      0.3376482934308589         -0.12628667046802045       
Zeropoint     AB|PS|PS_g                4446.403515993993    All      -0.7856205831431186       0.860900211718274          0.26663468428547166        0.5482246731623786         
Check         All|All|All               All                  All      0.9978771699075613        0.9998103451074769         0.00915021501848301        0.0010380308330448784      
Lambda        AB|PS|PS_r                5646.630617133262    All      -0.0001097289500492275    -8.273726360123665e-05     -0.00045690410865042026    -1.1597451608181345e-05    
Lambda        AB|PS|PS_i                6839.292605979901    All      -0.0009202902350276909    -0.00014857338134281007    -0.001561333377837567      0.00018169843026747038     
Lambda        AB|PS|PS_z                7860.016038346649    All      -0.0001961788637176552    0.00010370181040901167     0.000204871667219288       0.00010682348291065452     
Lambda        AB|PS|PS_g                4446.403515993993    All      -0.0002949356005160159    0.00034416994583500674     0.00019761739072770247     0.00021699645891880062     
MWEBV         All|All|All               All                  All      -0.599130756508131        -3.6766289583134437        0.06078514673542035        -0.9997298490887818        
Redshift      All|All|All               All                  All      5.605138691051469         1.7051279228804006         3.2728588583229135         -1.124309154586589         
