#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5646.630617133262    All      0.11539546157348929        0.45172962584487664        -0.5614851346069963       0.08449859961896705       
Zeropoint     AB|PS|PS_i                6839.292605979901    All      1.2420999569777476         -0.221417051747963         0.21629671988603777       -0.4670633088277927       
Zeropoint     AB|PS|PS_z                7860.016038346649    All      0.418945607725066          -0.10763454408273532       0.14017216523270634       -0.16526923946935523      
Zeropoint     AB|PS|PS_g                4446.403515993993    All      -0.7808114885617722        0.8769763144961473         0.20534470494469834       0.5491596181222617        
Check         All|All|All               All                  All      0.9956295377145309         0.9996543445103256         0.0003284554564461084     0.001325669444080746      
Lambda        AB|PS|PS_r                5646.630617133262    All      -3.0349122600304705e-05    -1.0851302286599384e-05    -0.0003235844768874197    -8.089007498329375e-06    
Lambda        AB|PS|PS_i                6839.292605979901    All      -0.0008565089032972113     -0.00015873587986785592    -0.0014053919236510744    0.00016457144296063786    
Lambda        AB|PS|PS_z                7860.016038346649    All      -0.0002481103238438865     0.0001490399099873272      0.0002482908969489798     0.00014044497938541496    
Lambda        AB|PS|PS_g                4446.403515993993    All      -0.0005803591625126567     0.0006625320063358259      0.00025589268275605885    0.0004162698587576752     
MWEBV         All|All|All               All                  All      -0.5901524442831061        -3.693294852118001         0.022688240854990317      -1.0097831005986193       
Redshift      All|All|All               All                  All      5.733427245134244          -0.17272281955342805       0.88028180094558          -1.884544448846296        
