#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3201.1848132760874    All      -0.06864727299766736       0.046593236946534944       0.15270765958221855        0.044352266875233304      
Zeropoint     AB|SDSS|SDSS_r            5500.414939911162     All      0.8829986533685099         0.27673514275896594        -0.8871359070306117        -0.23706877194551723      
Zeropoint     AB|SDSS|SDSS_i            6670.2144892634515    All      0.9624605344390184         -0.04652917717535843       0.47456567526604765        -0.30748345736251737      
Zeropoint     AB|SDSS|SDSS_z            7930.329007641526     All      0.1146601522472692         -0.008113159236700085      0.11340777291753978        -0.034930438630054184     
Zeropoint     AB|SDSS|SDSS_g            4209.3904431529945    All      -0.895237290787394         0.7315781066287386         0.15827218408959176        0.5369702562333573        
Check         All|All|All               All                   All      0.9962347762697362         1.000264149922181          0.011817384824786004       0.0018398551705017807     
Lambda        AB|SDSS|SDSS_u            3201.1848132760874    All      -5.609646473694347e-05     2.9064603332110147e-05     5.18330631052852e-05       3.005283313175169e-05     
Lambda        AB|SDSS|SDSS_r            5500.414939911162     All      0.00028937116674291317     0.00010930636310836256     0.00011017193405843615     -5.373656308421658e-05    
Lambda        AB|SDSS|SDSS_i            6670.2144892634515    All      -0.00044207091062987714    1.905545062556832e-05      -0.00036697221305555066    0.00013382774204131434    
Lambda        AB|SDSS|SDSS_z            7930.329007641526     All      1.2389340557188526e-05     -2.9033190631161867e-06    -2.7143560285603614e-06    -5.102451594859115e-06    
Lambda        AB|SDSS|SDSS_g            4209.3904431529945    All      -0.000742949502580864      0.0004595721908341993      -0.0009164237116134614     0.0003508050960664557     
MWEBV         All|All|All               All                   All      -0.6865307192012389        -3.5326491682775796        0.11767686872764527        -0.9218230351989098       
Redshift      All|All|All               All                   All      2.159775833336813          -0.9455144673752969        -6.07151451593576          -1.2824390193470063       
