#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3201.1848132760874    All      -0.1074165968103025       0.06415098296486121        0.1738408794456567        0.06364292516586928        
Zeropoint     AB|SDSS|SDSS_r            5500.414939911162     All      0.9274784931982479        0.325615074702057          -0.3716687181514318       -0.21263258400095672       
Zeropoint     AB|SDSS|SDSS_i            6670.2144892634515    All      0.8724422800363284        -0.016795559621129996      0.46533886683108644       -0.268888083029837         
Zeropoint     AB|SDSS|SDSS_z            7930.329007641526     All      0.09343655309249882       -0.005249595438883148      0.08279027340404824       -0.028450775594471452      
Zeropoint     AB|SDSS|SDSS_g            4209.3904431529945    All      -0.7933046514527756       0.6331503237952063         -0.341837546656138        0.44938867470882443        
Check         All|All|All               All                   All      0.9926360780639971        1.0008712264021113         0.00846375487322154       0.003060157249428541       
Lambda        AB|SDSS|SDSS_u            3201.1848132760874    All      -7.578067956848934e-05    4.528435039588114e-05      0.00012072815602944011    4.4822406299805797e-05     
Lambda        AB|SDSS|SDSS_r            5500.414939911162     All      0.0002040914742709759     6.611955071934684e-05      0.00030045358805943454    -3.153413094054935e-05     
Lambda        AB|SDSS|SDSS_i            6670.2144892634515    All      -0.0004178685312213882    1.7080755606826473e-05     -0.0002539379589502353    0.00013034520731336564     
Lambda        AB|SDSS|SDSS_z            7930.329007641526     All      7.999955415994203e-06     -1.2313915242679493e-06    1.0070686110551198e-05    -2.5575449326112825e-06    
Lambda        AB|SDSS|SDSS_g            4209.3904431529945    All      -0.0005856349128309862    0.00027152111529697015     -0.0014365042697007647    0.00021509933002571713     
MWEBV         All|All|All               All                   All      -0.8001205400669762       -3.4655103007624533        0.28963823809467476       -0.8552799094711748        
Redshift      All|All|All               All                   All      2.050422774512955         -0.29658562197187877       -5.635162339972381        -1.0159692628863355        
