#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                6164.893396705487     All      1.2859295339302308        0.1021559973004571         0.24718311786076702        -0.3745633385937618        
Zeropoint     AB|PS|PS_g                3487.4742673687274    All      -0.423959610421605        0.1686238140312213         -0.03994369470493508       0.19124141311995124        
Zeropoint     AB|PS|PS_r                4428.855569170356     All      -0.45759501668562585      0.6572924910908995         0.0317127488994339         0.36457073432434783        
Zeropoint     AB|PS|PS_i                5364.303281194224     All      0.5858256822528151        0.07264874913133212        -0.23418764123834102       -0.17760932898082593       
Check         All|All|All               All                   All      0.9902005890758149        1.00072105155391           0.004764530816924822       0.0036394798697113595      
Lambda        AB|PS|PS_z                6164.893396705487     All      -0.0001147158353478684    -0.00019873531160304357    -0.0014779448215462853     -9.332179700554278e-05     
Lambda        AB|PS|PS_g                3487.4742673687274    All      -0.0008269061545671608    0.0002929800669030407      -0.00046706713934894606    0.00034394072422781627     
Lambda        AB|PS|PS_r                4428.855569170356     All      -3.773117150618468e-05    -5.969978763234918e-05     -0.0007485863447302097     -4.0561871450880526e-05    
Lambda        AB|PS|PS_i                5364.303281194224     All      5.295395230953935e-05     -1.743311038715423e-05     -0.0004879610728224045     -4.470284354181206e-05     
MWEBV         All|All|All               All                   All      -0.4230638660131776       -2.5821127226267393        0.01434994227177788        -0.7026328711799115        
Redshift      All|All|All               All                   All      2.276820815738103         0.6875659954047819         1.9887533235112103         -0.42892365309846436       
