#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7933.271683643834    All      0.15600299116251726       -0.010835760428662411     0.20943111565546907       -0.04499892141575909      
Zeropoint     AB|SDSS|SDSS_g            4210.952405113144    All      -0.6911211020135369       0.6277451771325104        0.04611537957980733       0.4316560541200264        
Zeropoint     AB|SDSS|SDSS_i            6672.689579526275    All      0.9653584761859205        -0.021527945251520464     1.000837406981738         -0.2767985982674081       
Zeropoint     AB|SDSS|SDSS_u            3202.372664337488    All      -0.1083558621425832       0.0642796237787735        0.15741493777485044       0.06325776299560626       
Zeropoint     AB|SDSS|SDSS_r            5502.455957254933    All      0.6714834888875529        0.3402562855598035        -1.4000173662205833       -0.17036794218240045      
Check         All|All|All               All                  All      0.9933679920798707        0.9999173807909045        0.013781473771281583      0.0027483552500649766     
Lambda        AB|SDSS|SDSS_z            7933.271683643834    All      1.5958547818881765e-05    -6.213772375020544e-07    4.065393908400675e-05     -3.586428469666089e-06    
Lambda        AB|SDSS|SDSS_g            4210.952405113144    All      -0.0005714872958290957    0.0003037510247143096     -0.0010795966380904459    0.0002369164759364867     
Lambda        AB|SDSS|SDSS_i            6672.689579526275    All      -0.0004458841946075921    3.4063428804900602e-06    -0.0007585591568880554    0.00011249769804378455    
Lambda        AB|SDSS|SDSS_u            3202.372664337488    All      -7.16855754108951e-05     4.28584042799576e-05      0.00011896980180807293    4.261981841646863e-05     
Lambda        AB|SDSS|SDSS_r            5502.455957254933    All      8.653752294051931e-05     3.668785716515262e-05     -0.0014330527816150084    -8.018824001844393e-05    
MWEBV         All|All|All               All                  All      -0.7902651050016858       -3.468169911543484        0.2862739722729515        -0.8595066033682097       
Redshift      All|All|All               All                  All      2.565097562005744         -0.1423021431907756       1.3306609106584046        -0.8225078698489636       
