#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7933.271683643834    All      0.14366303787110818        -0.007627967995027518      0.20670092881301394       -0.040056344826955304     
Zeropoint     AB|SDSS|SDSS_g            4210.952405113144    All      -0.6657145350957789        0.6195657485134731         0.12062219903168359       0.424040887581952         
Zeropoint     AB|SDSS|SDSS_i            6672.689579526275    All      0.9450373316371175         -0.008088259653504792      1.0300698468142577        -0.2644970756602831       
Zeropoint     AB|SDSS|SDSS_u            3202.372664337488    All      -0.0896938239075418        0.060251532386246254       0.23773306821157358       0.05945107056637578       
Zeropoint     AB|SDSS|SDSS_r            5502.455957254933    All      0.6600821188019111         0.3357120694374771         -1.5791182590654984       -0.17612679180990468      
Check         All|All|All               All                  All      0.9933741293068162         0.9998131226886642         0.01600778380503054       0.002811745851184738      
Lambda        AB|SDSS|SDSS_z            7933.271683643834    All      1.732944268607312e-05      -4.042430181155613e-07     4.23078799227663e-05      -3.888438486895667e-06    
Lambda        AB|SDSS|SDSS_g            4210.952405113144    All      -0.0005330291162278932     0.0002803889442173597      -0.000978884106977768     0.00022127392110400608    
Lambda        AB|SDSS|SDSS_i            6672.689579526275    All      -0.00045385096911026486    -3.8617171823536283e-07    -0.0007863521256921526    0.00011261711927433375    
Lambda        AB|SDSS|SDSS_u            3202.372664337488    All      -6.197558212595791e-05     4.340209899754228e-05      0.00016870111213635892    4.185333338312097e-05     
Lambda        AB|SDSS|SDSS_r            5502.455957254933    All      6.962581896197137e-05      3.460436610690444e-05      -0.0014424420555700446    -7.57772034098251e-05     
MWEBV         All|All|All               All                  All      -0.810323615963382         -3.463941393950165         0.2314782755977296        -0.8540407994234183       
Redshift      All|All|All               All                  All      2.5730362451467195         -0.09777035438531811       0.6439108271704908        -0.8412347935536418       
