#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7912.676707820047    All      0.11721083738618965        -0.008646859668814955      0.050539353099554596       -0.03874065331608001       
Zeropoint     AB|SDSS|SDSS_i            6655.367107026901    All      0.9368805920872133         -0.003829968700408415      0.4878405978211875         -0.28465029279678145       
Zeropoint     AB|SDSS|SDSS_u            3194.059223145657    All      -0.1307689065188995        0.05584350750993394        0.0150563626340805         0.06145769892824185        
Zeropoint     AB|SDSS|SDSS_r            5488.171441114542    All      0.918355834428511          0.30045494552837226        -0.17588619959754137       -0.20911964112215048       
Zeropoint     AB|SDSS|SDSS_g            4200.020665165649    All      -0.8478593154405453        0.6574189753481008         -0.3646415793654878        0.4740463825457897         
Check         All|All|All               All                  All      0.9938190419424694         1.0012406000171836         0.012908534591793419       0.0029934942390195673      
Lambda        AB|SDSS|SDSS_z            7912.676707820047    All      6.70017398705616e-06       -1.716535310124171e-06     7.137399573521101e-06      -2.4230897575270164e-06    
Lambda        AB|SDSS|SDSS_i            6655.367107026901    All      -0.00034946164401551043    1.4870842324120596e-06     -0.000303345733863675      0.00010077861977478794     
Lambda        AB|SDSS|SDSS_u            3194.059223145657    All      -7.776459448748105e-05     2.7246018435917902e-05     -2.7237910694602968e-05    3.298990852059881e-05      
Lambda        AB|SDSS|SDSS_r            5488.171441114542    All      0.00011957051519590714     -5.1931874272680105e-06    -0.0010054230475469081     -8.550705541925133e-05     
Lambda        AB|SDSS|SDSS_g            4200.020665165649    All      -0.0007220552314938001     0.00037200775296913284     -0.0011154999386776138     0.00030659266868537455     
MWEBV         All|All|All               All                  All      -0.7685706374954693        -3.4729625077458692        0.18552079919906816        -0.8726304627883152        
Redshift      All|All|All               All                  All      1.9626351216364017         -0.03365949909390764       -0.47301109314539236       -0.6713671467398138        
