#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7912.676707820047    All      0.11772630493447468       -0.009304880172678054     0.040332649615320786       -0.03957837528008267      
Zeropoint     AB|SDSS|SDSS_i            6655.367107026901    All      0.8998396333811619        -0.01749916292261844      0.33842452717936183        -0.28370509318573545      
Zeropoint     AB|SDSS|SDSS_u            3194.059223145657    All      -0.08545452834827011      0.04620451294190531       0.07054338442672761        0.046033708454930655      
Zeropoint     AB|SDSS|SDSS_r            5488.171441114542    All      0.8984778708329897        0.3023865549311111        -0.27149860511129076       -0.20628228820916142      
Zeropoint     AB|SDSS|SDSS_g            4200.020665165649    All      -0.8372751967152321       0.6786199168514528        -0.17315984974189563       0.486049581157018         
Check         All|All|All               All                  All      0.9933140840851242        1.0004069416291728        0.004642106368223875       0.0025175329369691024     
Lambda        AB|SDSS|SDSS_z            7912.676707820047    All      1.1135225801567615e-05    -6.052831676376712e-07    2.3543459586003082e-05     -2.773633552417871e-06    
Lambda        AB|SDSS|SDSS_i            6655.367107026901    All      -0.0004017141245982013    -2.326401956038971e-07    -0.00041092970077243003    0.00011243782260481252    
Lambda        AB|SDSS|SDSS_u            3194.059223145657    All      -6.197412476323491e-05    3.327347282658485e-05     5.1858629087869034e-05     3.333948852601232e-05     
Lambda        AB|SDSS|SDSS_r            5488.171441114542    All      0.00015509058000384967    1.2916081777754286e-05    -0.001178379568206631      -9.889657950176021e-05    
Lambda        AB|SDSS|SDSS_g            4200.020665165649    All      -0.0006901062542560815    0.00035691999146313254    -0.0010108956342092421     0.00029593926509203513    
MWEBV         All|All|All               All                  All      -0.7614693012980824       -3.4808496955353263       0.12910514178325985        -0.8800302898413478       
Redshift      All|All|All               All                  All      2.4684391613323626        -0.18226478932277246      -0.8985720822383186        -0.9035206273360864       
