#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3692.8663816728954    All      -0.5850102198124575        0.3703234310766135         0.1017118351574794        0.31572253169565007        
Zeropoint     AB|PS|PS_i                5680.229796553019     All      0.6956963947648115         0.08715784105248758        -2.5216719284882525       -0.3107516638160308        
Zeropoint     AB|PS|PS_z                6527.970051078767     All      1.0514475001476            0.06533625739173488        1.75411379308388          -0.24293083162976337       
Zeropoint     AB|PS|PS_r                4689.689611104668     All      -0.16759588382989732       0.47651229878553636        0.6703575361832138        0.2397222036066886         
Check         All|All|All               All                   All      0.9945377912700567         0.9993298283063723         0.0045112359363207455     0.0017622398565445008      
Lambda        AB|PS|PS_g                3692.8663816728954    All      -0.0009127303877747026     0.0005427308581853936      -9.957708439219641e-05    0.00046964794312650334     
Lambda        AB|PS|PS_i                5680.229796553019     All      -0.00018887547782872973    -3.1730775932301765e-05    0.000367706383935769      6.759624641551411e-05      
Lambda        AB|PS|PS_z                6527.970051078767     All      -0.0003962894292050636     -4.121134889178136e-05     -0.0009290314280481345    7.420220673312308e-05      
Lambda        AB|PS|PS_r                4689.689611104668     All      -0.00011264676330781975    -6.905466474359417e-05     -0.0009376252805606706    -2.7642529274458076e-05    
MWEBV         All|All|All               All                   All      -0.4697171272369709        -2.795311778206866         0.0069072176356857334     -0.7572144502129662        
Redshift      All|All|All               All                   All      4.738281091029298          0.45423276560079273        2.109146942872095         -1.3013339394967518        
