#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3692.8663816728954    All      -0.5186690804611814        0.3629365409441476        0.34921621290425753       0.30275187054502034       
Zeropoint     AB|PS|PS_i                5680.229796553019     All      0.657240043837638          0.06956323400615361       -2.721036910642205        -0.3128530510063409       
Zeropoint     AB|PS|PS_z                6527.970051078767     All      0.992653964852315          0.05492806650693183       1.4376215128294623        -0.24129372999600876      
Zeropoint     AB|PS|PS_r                4689.689611104668     All      -0.13693757997760192       0.5116033356886263        0.9389317803299491        0.2531513255933001        
Check         All|All|All               All                   All      0.9942873482511695         0.9990311771458593        0.00473259542146387       0.0017564151359708013     
Lambda        AB|PS|PS_g                3692.8663816728954    All      -0.0008769933717797712     0.0005175739283295637     -0.0001789030906723533    0.0004462728262824829     
Lambda        AB|PS|PS_i                5680.229796553019     All      -0.0001702643236939989     -4.477727335670385e-05    0.000265687899448868      5.27316913882052e-05      
Lambda        AB|PS|PS_z                6527.970051078767     All      -0.00041548032427196884    -4.127986893379842e-05    -0.0009019839647410071    8.163799744907245e-05     
Lambda        AB|PS|PS_r                4689.689611104668     All      -0.00016533529051136688    -5.280455077567051e-05    -0.0009900836692556237    -7.527922785773316e-06    
MWEBV         All|All|All               All                   All      -0.473718983429138         -2.791473003031797        0.021958104935615452      -0.7539888466535765       
Redshift      All|All|All               All                   All      4.958648220996883          0.5125227204752392        2.8662684267518777        -1.3203409531129113       
