#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4168.929746741016     All      -0.7734146060488644        0.6573576375140888        0.010034403031234406      0.46649738005805613        
Zeropoint     AB|SDSS|SDSS_z            7854.102618391461     All      0.10089112269137047        -0.0033959142717421287    0.09773835246131399       -0.029608105106160455      
Zeropoint     AB|SDSS|SDSS_i            6606.100331382978     All      0.9897085794510857         0.005932457605517527      0.663119306762244         -0.29085627909418266       
Zeropoint     AB|SDSS|SDSS_u            3170.4149978746013    All      -0.09219874678230633       0.04797898406092571       0.07869606753064325       0.04917234270193165        
Zeropoint     AB|SDSS|SDSS_r            5447.544905156924     All      0.7676276268204572         0.2927468917100384        -0.8433978025164096       -0.1923212488779045        
Check         All|All|All               All                   All      0.9926139761317426         1.0006200566188284        0.006190327269026019      0.0028840896817401707      
Lambda        AB|SDSS|SDSS_g            4168.929746741016     All      -0.000639155298988688      0.00035057136053344244    -0.001264413454774858     0.0002659615688006433      
Lambda        AB|SDSS|SDSS_z            7854.102618391461     All      5.388490690135785e-06      9.73071611496621e-08      1.2876538148306518e-05    -1.1488917924000424e-06    
Lambda        AB|SDSS|SDSS_i            6606.100331382978     All      -0.00033535954395072325    -8.72214828716309e-06     -0.0004142688062526202    8.790963166350202e-05      
Lambda        AB|SDSS|SDSS_u            3170.4149978746013    All      -6.595393273628596e-05     3.420102448200012e-05     5.4861133534657265e-05    3.5071964987796136e-05     
Lambda        AB|SDSS|SDSS_r            5447.544905156924     All      0.0001488754810977662      4.1220507857100654e-05    -0.0011034964180642118    -8.431074349037869e-05     
MWEBV         All|All|All               All                   All      -0.7729117691493559        -3.4363422492020845       0.15930414262884485       -0.8604579193852043        
Redshift      All|All|All               All                   All      3.3776059581311486         -0.23954375690831142      4.120916426529955         -0.994327089447836         
