#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4168.929746741016     All      -0.8027177055977903       0.6296579029106297         -0.3037203295384816       0.45301821607871273       
Zeropoint     AB|SDSS|SDSS_z            7854.102618391461     All      0.1200766234325927        -0.0010721701157123675     0.14485972747637632       -0.03299772341499724      
Zeropoint     AB|SDSS|SDSS_i            6606.100331382978     All      1.009869777102327         0.02525772923807068        0.8146240767545776        -0.28436760565110075      
Zeropoint     AB|SDSS|SDSS_u            3170.4149978746013    All      -0.11134718706922421      0.05688026898109655        0.09706218403995326       0.05912865643771803       
Zeropoint     AB|SDSS|SDSS_r            5447.544905156924     All      0.7745020960628961        0.29030377965337806        -0.7477966203306652       -0.1910900499657392       
Check         All|All|All               All                   All      0.9903836039308015        1.0010275106674626         0.005029038401760388      0.0036914934845935776     
Lambda        AB|SDSS|SDSS_g            4168.929746741016     All      -0.0005926697381457191    0.00022784958622800236     -0.0015506471462143653    0.0001980718779616786     
Lambda        AB|SDSS|SDSS_z            7854.102618391461     All      4.415847634849974e-06     1.4386614162655477e-06     2.9621582159461262e-05    3.5210766686051046e-07    
Lambda        AB|SDSS|SDSS_i            6606.100331382978     All      -0.0004065663512861829    -1.6330368030365573e-05    -0.000607189941847855     0.00010001659974679517    
Lambda        AB|SDSS|SDSS_u            3170.4149978746013    All      -5.382935146128645e-05    2.741656916409414e-05      4.482640499662385e-05     2.846486583384953e-05     
Lambda        AB|SDSS|SDSS_r            5447.544905156924     All      0.0002076415052611798     1.9059330704797807e-05     -0.0008617414065700273    -9.988297956236994e-05    
MWEBV         All|All|All               All                   All      -0.8381102224969847       -3.412614445053741         0.1312504358250033        -0.8327436198204335       
Redshift      All|All|All               All                   All      4.016668120461581         0.43510577624878977        8.550170450065364         -0.785077847737406        
