#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                6819.991941607325     All      1.0772053381110642        -0.048403041879652164      0.9424214655216367         -0.32459173915773687      
Zeropoint     AB|PS|PS_g                3858.0628843846794    All      -0.6913737936078141       0.424132370975272          -0.16481261379328593       0.3560022268708163        
Zeropoint     AB|PS|PS_i                5934.328916317202     All      0.6637420308514845        -0.021662792176968537      -1.7067248097627719        -0.29942218956545696      
Zeropoint     AB|PS|PS_r                4899.477955032596     All      -0.054505812779058194     0.6452773843978576         0.928818194468084          0.2693912996153236        
Check         All|All|All               All                   All      0.9950677625756763        0.999343921316509          -0.00029776356633703926    0.0013795977629460499     
Lambda        AB|PS|PS_z                6819.991941607325     All      -0.0005502867982324961    2.9313280919136686e-05     -0.0002768777643666055     0.00017643903108580062    
Lambda        AB|PS|PS_g                3858.0628843846794    All      -0.0008522283285535004    0.0005009865412950731      -0.0003371988177094112     0.0004257389680203206     
Lambda        AB|PS|PS_i                5934.328916317202     All      6.2535729182132295e-06    -1.8020465631368803e-05    0.00028377794468394335     4.756853378540133e-06     
Lambda        AB|PS|PS_r                4899.477955032596     All      1.0180318268108185e-05    0.00011014511471248784     -7.432809560535662e-06     3.223013079302484e-05     
MWEBV         All|All|All               All                   All      -0.46070531451824914      -2.998332825331218         0.07327086692336948        -0.8233190234672533       
Redshift      All|All|All               All                   All      5.073766095268133         -0.7107116603229713        5.583717243309749          -1.6350190531783937       
