#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                6819.991941607325     All      0.8911555605552681         0.005809718065563629       0.8914082192488298         -0.24860681317674754      
Zeropoint     AB|PS|PS_g                3858.0628843846794    All      -0.7500837077186483        0.4090563455612539         -0.2211148656418967        0.3677027090185545        
Zeropoint     AB|PS|PS_i                5934.328916317202     All      0.6267167447010767         -0.02334720687713343       -1.6627237533544292        -0.28594693999601534      
Zeropoint     AB|PS|PS_r                4899.477955032596     All      0.22677996735419614        0.6074057572165614         0.9932695864822357         0.16830740169720898       
Check         All|All|All               All                   All      0.994568564891893          0.9989246139662455         0.0008391867347395943      0.0014563575430006082     
Lambda        AB|PS|PS_z                6819.991941607325     All      -0.0005250609410415745     -3.6616885050278813e-07    -0.00018936027108413587    0.00016246007004968896    
Lambda        AB|PS|PS_g                3858.0628843846794    All      -0.0006732744963244559     0.00034755418485581433     -0.00035273025528375084    0.00031677675446462424    
Lambda        AB|PS|PS_i                5934.328916317202     All      -1.6673807915913296e-05    -1.5934853865626035e-06    0.0008917833177183739      4.470835083282343e-05     
Lambda        AB|PS|PS_r                4899.477955032596     All      -8.488915153343284e-05     -1.4264778327408704e-05    -0.0004041870701852983     4.967669247764905e-06     
MWEBV         All|All|All               All                   All      -0.49211959164490215       -2.9864526022539195        0.046079875356147604       -0.8104299894740147       
Redshift      All|All|All               All                   All      4.41313829079613           0.4095478335983671         3.813901253665685          -1.133904229786829        
