#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                8029.970182956989    All      0.36396449173942946       -0.12569310925716337      0.506129137512446         -0.13691137106103834      
Zeropoint     AB|PS|PS_i                6987.176035087209    All      0.8489561520705253        -0.20013245502443766      -0.12953726833147866      -0.34750332666331457      
Zeropoint     AB|PS|PS_g                4542.546412200109    All      -1.028068045847617        0.9268575889377573        0.12774373542333375       0.642484210598818         
Zeropoint     AB|PS|PS_r                5768.725568566377    All      0.8125349330449074        0.3979293560520958        -0.5080322289271646       -0.1577218216142779       
Check         All|All|All               All                  All      0.997387531007245         0.998961380708252         -0.00369662432286344      0.00034769126018718843    
Lambda        AB|PS|PS_z                8029.970182956989    All      -5.625956563025066e-05    4.064400728041322e-05     0.00020894461383473955    4.0888920197401695e-05    
Lambda        AB|PS|PS_i                6987.176035087209    All      -0.0006696900792581076    5.481622579764872e-05     -0.0008794378852567639    0.0001967502653992116     
Lambda        AB|PS|PS_g                4542.546412200109    All      -0.0001997532462843215    7.884607325337508e-05     -0.0006786816668784077    6.046251829816115e-05     
Lambda        AB|PS|PS_r                5768.725568566377    All      -0.0003269431291316832    1.8621117864093397e-05    -0.001054511575770795     6.550363554240317e-05     
MWEBV         All|All|All               All                  All      -0.6247178719324449       -3.8107213546409113       0.11406487562606059       -1.032695959201204        
Redshift      All|All|All               All                  All      5.048744150196655         0.2767514314411912        6.070858375352961         -1.283480495547918        
