#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                8029.970182956989    All      0.3378100557906274         -0.11822851068128415      0.4015232933282098         -0.13062862387164392       
Zeropoint     AB|PS|PS_i                6987.176035087209    All      0.821092849443056          -0.1888926556349091       -0.18918921082056173       -0.337428152104359         
Zeropoint     AB|PS|PS_g                4542.546412200109    All      -1.0204143159863062        0.951630235388734         0.14501398716153524        0.648831096943378          
Zeropoint     AB|PS|PS_r                5768.725568566377    All      0.8580290465362799         0.3529091699585152        -0.3647047528175573        -0.18080925984161889       
Check         All|All|All               All                  All      0.9965176357836572         0.997418239031056         -0.00735668314837401       -3.4938874243772844e-05    
Lambda        AB|PS|PS_z                8029.970182956989    All      -7.716459877647597e-05     5.439804058320289e-05     0.00013872761192349785     4.904505608898961e-05      
Lambda        AB|PS|PS_i                6987.176035087209    All      -0.0006917088367768679     5.205346360768712e-05     -0.0007815641875007185     0.00020739023019444841     
Lambda        AB|PS|PS_g                4542.546412200109    All      -0.00024302515886780328    0.00014745117051397164    -0.00034973091034594606    0.00011158410249654082     
Lambda        AB|PS|PS_r                5768.725568566377    All      -0.0002476707908606458     5.792042364938291e-05     -0.000748286946057901      6.614850257332127e-05      
MWEBV         All|All|All               All                  All      -0.6260613610586603        -3.814522554071864        0.09094732248340343        -1.0345281465254           
Redshift      All|All|All               All                  All      5.1901588517008275         -0.4255144342911521       5.917716569528775          -1.5651290280021295        
