#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3073.818523896805     All      -0.0700522016813171        0.07145745792573877        0.40311432426656246       0.06408349251842832        
Zeropoint     AB|SDSS|SDSS_r            5281.56864336576      All      0.9297946396116168         0.3379373463296531         -0.09238050355062644      -0.19690990953368062       
Zeropoint     AB|SDSS|SDSS_z            7614.803151380043     All      0.07318668445462917        0.005863676802420059       0.09513274768104818       -0.017683980853389417      
Zeropoint     AB|SDSS|SDSS_i            6404.825104265096     All      0.9605067535670399         0.021780725290554415       0.0025598753152999976     -0.30565971510042          
Zeropoint     AB|SDSS|SDSS_g            4041.9104404147793    All      -0.9004968581140843        0.5634095813412898         -0.40022996194022387      0.4589820634102813         
Check         All|All|All               All                   All      0.9929390178378844         1.0004487876896562         0.008196481772060338      0.0028119504412195684      
Lambda        AB|SDSS|SDSS_u            3073.818523896805     All      -5.364545320806291e-05     3.8048916836154914e-05     0.00019245068243797122    3.845606304176544e-05      
Lambda        AB|SDSS|SDSS_r            5281.56864336576      All      0.0002538003568165622      9.215029836556669e-05      0.00011846261616626183    -4.7368299686064374e-05    
Lambda        AB|SDSS|SDSS_z            7614.803151380043     All      -6.726926900667391e-06     9.648972733438897e-07      8.123106467499484e-06     2.8679771205402964e-06     
Lambda        AB|SDSS|SDSS_i            6404.825104265096     All      -0.00041307966654105836    -4.4018137676010984e-05    -0.0004222284030532163    0.00010137336731164714     
Lambda        AB|SDSS|SDSS_g            4041.9104404147793    All      -0.0007229684715821478     0.00024503742120869713     -0.001799941908152873     0.0002349882252032252      
MWEBV         All|All|All               All                   All      -0.721997145804846         -3.28869281497699          0.2707631554754286        -0.823974305170036         
Redshift      All|All|All               All                   All      6.211822794060746          -0.09471821191144869       -0.2630487911035262       -2.065986544089048         
