#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3073.818523896805     All      -0.07616000043546398      0.05215512489016305        0.19705994786611392        0.05059033817045103        
Zeropoint     AB|SDSS|SDSS_r            5281.56864336576      All      0.8654062254381258        0.379937861908175          0.10131240891775461        -0.15361190993753043       
Zeropoint     AB|SDSS|SDSS_z            7614.803151380043     All      0.08085760813475953       0.004906415921190899       0.09298979522011534        -0.020590094549971606      
Zeropoint     AB|SDSS|SDSS_i            6404.825104265096     All      0.9836076482097565        0.03920663855367934        0.2554182588818508         -0.2962243349150696        
Zeropoint     AB|SDSS|SDSS_g            4041.9104404147793    All      -0.8601961711848676       0.5245496750806211         -0.6361007720900561        0.4226710229606355         
Check         All|All|All               All                   All      0.9935153101623102        1.0007557163538294         0.010679638795778601       0.002835021728514908       
Lambda        AB|SDSS|SDSS_u            3073.818523896805     All      -6.437331587526816e-05    4.686886944280372e-05      0.00018617384047066088     4.454332295197148e-05      
Lambda        AB|SDSS|SDSS_r            5281.56864336576      All      0.0003059966837873793     0.00013059720918825484     8.251032477089912e-05      -5.3451322509938535e-05    
Lambda        AB|SDSS|SDSS_z            7614.803151380043     All      -6.285701743774692e-06    6.050317831450054e-07      2.6644401143502213e-06     2.3634403330897975e-06     
Lambda        AB|SDSS|SDSS_i            6404.825104265096     All      -0.0002794577387126108    -2.9318232086902945e-05    -0.00025736538731382187    6.999363145397859e-05      
Lambda        AB|SDSS|SDSS_g            4041.9104404147793    All      -0.0007520420952263679    0.00028377174705153494     -0.0017258226888095666     0.00026038310550846654     
MWEBV         All|All|All               All                   All      -0.7316850684872018       -3.258860359224869         0.42736369218568215        -0.8041128550189669        
Redshift      All|All|All               All                   All      6.040840306783746         -0.22065903039010237       0.7984375092571105         -2.003945732379682         
