#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                6048.733625447067    All      1.2806421836550608         0.10766475161556599        0.4557414927490293         -0.36173968975012305      
Zeropoint     AB|PS|PS_g                3932.440386595439    All      -0.623181214870741         0.5601069651000046         0.7473659869517871         0.4187874007111207        
Zeropoint     AB|PS|PS_z                6951.470867927409    All      0.5818161534362762         -0.008436742347406323      0.6855798929907413         -0.16167050503060293      
Zeropoint     AB|PS|PS_r                4993.932333655334    All      -0.24220166570260376       0.33985784184622503        -1.8815407249312361        0.10563140984796399       
Check         All|All|All               All                  All      0.9970754565179922         0.9991928162143893         0.0071466477603217005      0.0010086157783587013     
Lambda        AB|PS|PS_i                6048.733625447067    All      -9.376139855424325e-05     -2.013060157357876e-05     -0.00035639379414344977    8.079754782740025e-06     
Lambda        AB|PS|PS_g                3932.440386595439    All      -0.0005321213780881958     0.000343440730583751       -0.0004244110087247194     0.00026625986986210436    
Lambda        AB|PS|PS_z                6951.470867927409    All      -0.00038985485763512023    -2.6450610440716783e-05    -0.0007510127240512989     8.485847035810277e-05     
Lambda        AB|PS|PS_r                4993.932333655334    All      -0.00013534176245627775    -3.818479957906855e-05     -0.0017410018222565285     -4.604569601691701e-05    
MWEBV         All|All|All               All                  All      -0.5115770764018213        -3.0737764352259944        0.07273802734773775        -0.8313466609373072       
Redshift      All|All|All               All                  All      4.8120146948712135         0.2825780817406809         5.5116914532597985         -1.229425043659264        
