#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                6048.733625447067    All      1.284467629704933          0.0994584390127784         0.394273119419844         -0.3684018805640508       
Zeropoint     AB|PS|PS_g                3932.440386595439    All      -0.6074344936621556        0.5858095953881204         1.023702411471758         0.4343619932970381        
Zeropoint     AB|PS|PS_z                6951.470867927409    All      0.5491685135880335         -0.023593152980083687      0.4705304364127666        -0.1655697057913903       
Zeropoint     AB|PS|PS_r                4993.932333655334    All      -0.2289908467701346        0.3372955768035979         -1.8811333358531217       0.10051177738171167       
Check         All|All|All               All                  All      0.9972108028606762         0.998970458224413          0.0073726314512467805     0.0009021843233086718     
Lambda        AB|PS|PS_i                6048.733625447067    All      -0.00011803806583314002    -1.8998138504799752e-05    -0.0003583209744147065    1.627034326824934e-05     
Lambda        AB|PS|PS_g                3932.440386595439    All      -0.0005374725750653857     0.00034378552775431        -0.0004322714459485967    0.0002677644673370482     
Lambda        AB|PS|PS_z                6951.470867927409    All      -0.0003916103998779255     -2.903046434353618e-05     -0.0007379059479282825    8.51748601525129e-05      
Lambda        AB|PS|PS_r                4993.932333655334    All      -0.00011986345248936401    -4.5644848324859326e-05    -0.0016931111051005914    -5.138033134666983e-05    
MWEBV         All|All|All               All                  All      -0.5097476484674495        -3.073294752422129         0.08240228174792308       -0.8313543945782457       
Redshift      All|All|All               All                  All      4.881589083524059          0.300038633588251          4.970753688451338         -1.270539802807158        
