#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6497.707291757182     All      1.0292077170663683         0.06270146606563998        0.9731775111090916        -0.2713944403839683       
Zeropoint     AB|PS|PS_i                5653.897042897696     All      0.6105957860475525         0.04301012510463664        -1.405137212278545        -0.24758614300491094      
Zeropoint     AB|PS|PS_r                4667.948863692638     All      0.04730139745860451        0.5780753843135145         0.5252860093211069        0.19633165150876275       
Zeropoint     AB|PS|PS_g                3675.7467678203666    All      -0.692981955380279         0.31523017528911623        -0.08688365062005686      0.3245306418678982        
Check         All|All|All               All                   All      0.994122945192246          0.9990171507729073         0.006442657531596577      0.0018817099877817545     
Lambda        AB|PS|PS_z                6497.707291757182     All      -0.00026596399581531603    -1.693939297487008e-05     -0.0002806778718920788    6.859014149551504e-05     
Lambda        AB|PS|PS_i                5653.897042897696     All      -0.00017983922856942985    -5.774098096902596e-06     0.00043306427745733465    7.602440927823522e-05     
Lambda        AB|PS|PS_r                4667.948863692638     All      -0.00014015141403039664    -0.00012872152050091262    -0.0010464890330212626    -4.297690683857621e-05    
Lambda        AB|PS|PS_g                3675.7467678203666    All      -0.001233053592940112      0.0004624088812147754      -0.0009349542779460311    0.0005105451915557919     
MWEBV         All|All|All               All                   All      -0.46880459035619504       -2.7810234347240836        0.03728633515901539       -0.7515018294629003       
Redshift      All|All|All               All                   All      4.964826489152961          0.07186474850389146        -2.596673456019554        -1.709676222841612        
