#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                6497.707291757182     All      1.0991036761611732         0.05774097826130031        1.114039494275032          -0.28949162448996535      
Zeropoint     AB|PS|PS_i                5653.897042897696     All      0.46329775280144414        0.02785935123075234        -1.9895862416292598        -0.23062270901429982      
Zeropoint     AB|PS|PS_r                4667.948863692638     All      -0.14259663188229266       0.6397444540363395         0.5546955730241776         0.2795877457403728        
Zeropoint     AB|PS|PS_g                3675.7467678203666    All      -0.42610496278171894       0.27436302525192247        0.3347172164909207         0.24310236048628586       
Check         All|All|All               All                   All      0.9936998342986059         0.9997078087803146         0.013866042160870506       0.00257577272239351       
Lambda        AB|PS|PS_z                6497.707291757182     All      -0.0001625720588859942     -2.421205279266147e-05     -0.00022594323477297397    3.498559704541867e-05     
Lambda        AB|PS|PS_i                5653.897042897696     All      -0.00011733886034249544    2.228561329078925e-05      0.0006062088583663745      7.253260170341304e-05     
Lambda        AB|PS|PS_r                4667.948863692638     All      -0.00019458341493916058    -5.0669162905785004e-05    -0.0010262934152122556     1.0788449997708614e-06    
Lambda        AB|PS|PS_g                3675.7467678203666    All      -0.0011591834078179056     0.000540886710745986       -0.0009421754304084366     0.0005117238060579596     
MWEBV         All|All|All               All                   All      -0.45350770817212416       -2.787802891330493         0.023550863718935222       -0.7593057703025652       
Redshift      All|All|All               All                   All      3.3086059858292827         -0.7454592049903397        -6.435596944094379         -1.6077335414203753       
