#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5094.177731785013     All      0.05823939000940903        0.3939075156669247        -0.8324826581741163        0.07218827410021555        
Zeropoint     AB|PS|PS_i                6170.1525133997375    All      1.096647148598772          -0.015739356889454825     -0.2764097947877464        -0.37467578090363135       
Zeropoint     AB|PS|PS_z                7091.010797222402     All      0.5571092031517717         0.013903442644647157      0.6095424579028563         -0.14973890676691637       
Zeropoint     AB|PS|PS_g                4011.3779904389703    All      -0.7161725216385788        0.606405020154277         0.49992534710348036        0.45311638903779566        
Check         All|All|All               All                   All      0.995823220121374          0.998476621576394         0.000575352044474009       0.0008899754674634996      
Lambda        AB|PS|PS_r                5094.177731785013     All      -0.00020760265335865316    -7.961169419061307e-05    -0.0020915740674179897     -5.1646478198118744e-05    
Lambda        AB|PS|PS_i                6170.1525133997375    All      -0.0002219470306536361     -6.168701697410406e-05    -0.0006803998761939586     2.1838837342332163e-05     
Lambda        AB|PS|PS_z                7091.010797222402     All      -0.00023974175558340627    -2.636055436600304e-05    -0.0004197075722251711     5.077565596825889e-05      
Lambda        AB|PS|PS_g                4011.3779904389703    All      -0.00045572118196630923    0.00032792764279521115    -0.00011064487770235205    0.0002503226307870678      
MWEBV         All|All|All               All                   All      -0.5154419082184867        -3.1636898657128043       0.08348460792521051        -0.8588959499050697        
Redshift      All|All|All               All                   All      7.838246280290242          0.30382529569621397       5.410486751884902          -2.21276361550026          
