#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5094.177731785013     All      -0.02120528362147156       0.4068169537832844         -0.959461116637823         0.09660458124605024        
Zeropoint     AB|PS|PS_i                6170.1525133997375    All      1.108332543666469          -0.03570716156602316       -0.3891813347017264        -0.3900187453050908        
Zeropoint     AB|PS|PS_z                7091.010797222402     All      0.6119166003609728         0.028796219642757137       0.9026214718153103         -0.1496616413939799        
Zeropoint     AB|PS|PS_g                4011.3779904389703    All      -0.7033661494067313        0.5986211849478451         0.4468769587556239         0.44404217514791433        
Check         All|All|All               All                   All      0.9956777109992387         0.9985271968078635         0.0008559792313847514      0.0009663696948939426      
Lambda        AB|PS|PS_r                5094.177731785013     All      -0.00018796617873426594    -1.1515089055130177e-05    -0.0017370357106034475     -2.0040000870858813e-05    
Lambda        AB|PS|PS_i                6170.1525133997375    All      -0.00022428175127933283    -6.114016280271281e-05     -0.0007497146705836822     1.9684260132461087e-05     
Lambda        AB|PS|PS_z                7091.010797222402     All      -0.0002860276400415835     -3.853926099644482e-05     -0.0006710287587304178     5.067017560230339e-05      
Lambda        AB|PS|PS_g                4011.3779904389703    All      -0.0004961447219241127     0.00037964708465564127     -2.7478591262540078e-05    0.0002840479607741974      
MWEBV         All|All|All               All                   All      -0.5158387485084677        -3.166554698768742         0.07509732118454555        -0.8600741424293133        
Redshift      All|All|All               All                   All      7.541710279708132          -0.11047442015374997       4.027861917683264          -2.312823328058396         
