#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3612.539482130334    All      -0.5393488209507942       0.4287767762630068        0.32448458868292995       0.32983061428774024        
Zeropoint     AB|PS|PS_i                5556.67394559919     All      0.4838600096134859        0.093168961826251         -0.6900230575729122       -0.15805348751619672       
Zeropoint     AB|PS|PS_z                6385.974229861886    All      1.2137991869265916        0.20372982306433585       0.858781672591334         -0.29068934029877624       
Zeropoint     AB|PS|PS_r                4587.679901750833    All      -0.1624833146693557       0.2738581273350249        -0.48420578684602356      0.12052288247767928        
Check         All|All|All               All                  All      0.9958270609199277        0.9995336884886186        0.009037416855328217      0.0016106689504465643      
Lambda        AB|PS|PS_g                3612.539482130334    All      -0.0008961659803317141    0.0007014142921297517     0.00026509759246804435    0.0005322145415731557      
Lambda        AB|PS|PS_i                5556.67394559919     All      -4.293465044004699e-05    -1.950613957740273e-05    -0.0006486308490783097    -2.1313978977551854e-05    
Lambda        AB|PS|PS_z                6385.974229861886    All      0.00011838918194152112    -3.753509509865236e-05    -0.0007476767913097464    -8.415504802918852e-05     
Lambda        AB|PS|PS_r                4587.679901750833    All      -8.062101251975959e-05    -7.66058652070902e-05     -0.0007002019089221651    -2.9938929709989333e-05    
MWEBV         All|All|All               All                  All      -0.46441470827822373      -2.686867426906403        0.05582767628203377       -0.7214346341946386        
Redshift      All|All|All               All                  All      5.296731332970969         -0.018186361276661955     -0.8403400380781693       -1.768744064972098         
