#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                3612.539482130334    All      -0.34114426854863766       0.4603278459143212        1.3089667185169462         0.3194790081106777         
Zeropoint     AB|PS|PS_i                5556.67394559919     All      0.4185964753779577         0.04542190784775357       -1.1828702564146698        -0.17434130054039543       
Zeropoint     AB|PS|PS_z                6385.974229861886    All      0.9370482757212584         0.15495737629400708       -0.10158898301411146       -0.25928618570038586       
Zeropoint     AB|PS|PS_r                4587.679901750833    All      -0.01953291389805717       0.33716672557062566       -0.027359399588566813      0.11496788329806162        
Check         All|All|All               All                  All      0.9949675686525212         0.9978738556267075        -0.002851920500401839      0.0008194051679580316      
Lambda        AB|PS|PS_g                3612.539482130334    All      -0.000742999541758169      0.0006071889471804904     -0.00038469280006023514    0.0004226337378926408      
Lambda        AB|PS|PS_i                5556.67394559919     All      -6.536537957758e-05        -4.114327942729887e-05    -0.000626655026600002      -2.0074800812351508e-05    
Lambda        AB|PS|PS_z                6385.974229861886    All      0.0004945709841319456      0.0001655659480216604     0.0013663031843652535      -4.619592829063371e-05     
Lambda        AB|PS|PS_r                4587.679901750833    All      -0.00010557326659178787    1.7077402233410058e-05    -5.868334580946178e-05     3.733258972289957e-05      
MWEBV         All|All|All               All                  All      -0.48564921548498097       -2.6605196126546105       0.15507906947849204        -0.7015063728505133        
Redshift      All|All|All               All                  All      3.9293117496613967         -0.5280768700023586       -8.797107385774117         -1.8444926161286026        
