#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7487.985356826137     All      0.08877184436125891        -0.0007464897926467984     0.07779455860836837        -0.025687452646436237     
Zeropoint     AB|SDSS|SDSS_r            5193.608800698609     All      0.8283932808509507         0.42151838632822347        0.8402186021439495         -0.09503744170325928      
Zeropoint     AB|SDSS|SDSS_i            6298.15842121641      All      1.1220109935120528         -0.031351138747481855      -0.6276899838732475        -0.4036989120684592       
Zeropoint     AB|SDSS|SDSS_u            3022.6268018903215    All      -0.04471487181183828       0.017833085737350984       0.019196035696023017       0.021230558449363002      
Zeropoint     AB|SDSS|SDSS_g            3974.596005931346     All      -1.0000659285067182        0.5924922420504686         -0.30819560944682634       0.504995235199665         
Check         All|All|All               All                   All      0.9943953184057059         0.9997460855759144         0.0013236031282670702      0.0018019872308733254     
Lambda        AB|SDSS|SDSS_z            7487.985356826137     All      -1.299816245323697e-05     -1.3300196023095896e-06    -2.9598874340947442e-05    2.4798361779210363e-06    
Lambda        AB|SDSS|SDSS_r            5193.608800698609     All      9.77583578364224e-05       5.593900061237091e-05      -0.0016763196517666063     -8.842838746452006e-05    
Lambda        AB|SDSS|SDSS_i            6298.15842121641      All      -0.0003617801371113365     -4.35696639436116e-05      -0.0008005182771918721     6.792816586072914e-05     
Lambda        AB|SDSS|SDSS_u            3022.6268018903215    All      -2.6474735115542658e-05    1.1602973966059277e-05     3.2357229522558866e-05     1.384711710950896e-05     
Lambda        AB|SDSS|SDSS_g            3974.596005931346     All      -0.0010286502325616864     0.0005151045086109707      -0.0007895115851488741     0.00046761943127272354    
MWEBV         All|All|All               All                   All      -0.5933230764792055        -3.266404446196347         0.08542417281933723        -0.8668984553879128       
Redshift      All|All|All               All                   All      5.768033842889792          -0.5162553712878548        0.9847213393335941         -2.0030561533188744       
