#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7487.985356826137     All      0.08656617732756892        -0.0003049195797188986     0.057216632739464375      -0.025743458704228405     
Zeropoint     AB|SDSS|SDSS_r            5193.608800698609     All      0.8777920969899682         0.4248983471299539         0.7433030039879123        -0.11435219489044639      
Zeropoint     AB|SDSS|SDSS_i            6298.15842121641      All      1.0307605714906733         0.010121406308982728       -0.33738681230394446      -0.347511778002388        
Zeropoint     AB|SDSS|SDSS_u            3022.6268018903215    All      -0.049262964450052626      0.020741741971619376       0.04154832067089699       0.024656946694978796      
Zeropoint     AB|SDSS|SDSS_g            3974.596005931346     All      -0.952182207925795         0.5443960032771145         -0.49977900362957556      0.46518191781943247       
Check         All|All|All               All                   All      0.9936736734323631         0.9998525791079516         0.0049021414647537065     0.0022314329173484526     
Lambda        AB|SDSS|SDSS_z            7487.985356826137     All      -1.5455051564716357e-05    -1.9249241950985736e-06    -4.031962653282058e-05    2.6079278614401838e-06    
Lambda        AB|SDSS|SDSS_r            5193.608800698609     All      4.210283766556996e-05      2.544467560360101e-05      -0.0018331475398697008    -8.723106678310032e-05    
Lambda        AB|SDSS|SDSS_i            6298.15842121641      All      -0.0003326805322048196     -5.283880562574522e-05     -0.0008148097086157477    5.4792441856259595e-05    
Lambda        AB|SDSS|SDSS_u            3022.6268018903215    All      -5.622983543258816e-05     2.4157487884052178e-05     5.2503267253953094e-05    2.852777554737196e-05     
Lambda        AB|SDSS|SDSS_g            3974.596005931346     All      -0.0008566987484771501     0.00042009316279277293     -0.0007567818807377062    0.00038212143114295025    
MWEBV         All|All|All               All                   All      -0.6708639263748153        -3.234461908003894         0.1302775124347182        -0.8292345154480528       
Redshift      All|All|All               All                   All      5.665611101465681          -0.030024841900200272      1.455621088219133         -1.7902983238696615       
