#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3044.8753639479246    All      -0.09361259769633992       0.051328427446861724      0.16076898752696162        0.05438644183530794        
Zeropoint     AB|SDSS|SDSS_g            4003.8517002951226    All      -0.7606972311568846        0.4943438442797543        -0.48651954778652223       0.3870970349804187         
Zeropoint     AB|SDSS|SDSS_z            7543.101955009405     All      0.08348755450303169        0.006260284472503486      0.11185485799102557        -0.020163893969302182      
Zeropoint     AB|SDSS|SDSS_r            5231.837247436721     All      0.73943538904568           0.36971159954006794       -0.1904902809227657        -0.1289319081407267        
Zeropoint     AB|SDSS|SDSS_i            6344.517094538374     All      1.023902035118242          0.07845917337867547       0.40963985822621146        -0.2896814987500246        
Check         All|All|All               All                   All      0.992515149813729          1.000103329117863         0.005253875034910704       0.0027061759556731846      
Lambda        AB|SDSS|SDSS_u            3044.8753639479246    All      -6.993320721580452e-05     3.889988199816461e-05     0.00012904376858221474     4.120914837450572e-05      
Lambda        AB|SDSS|SDSS_g            4003.8517002951226    All      -0.0005475139606422393     0.00023673475088183902    -0.001273680974580152      0.00019861707426924998     
Lambda        AB|SDSS|SDSS_z            7543.101955009405     All      -1.2120509386362283e-05    -9.024603819324602e-07    -1.5859350581688888e-05    2.9463576464946077e-06     
Lambda        AB|SDSS|SDSS_r            5231.837247436721     All      0.00017633460304805387     0.00010927024064066617    -0.00019208836010842787    -3.0417090469785774e-05    
Lambda        AB|SDSS|SDSS_i            6344.517094538374     All      -0.0003175507999382482     -4.328241516070861e-05    -0.00030681312395431596    7.564657550351736e-05      
MWEBV         All|All|All               All                   All      -0.7571180342562802        -3.2120008927762456       0.3737290637839688         -0.7829582986259159        
Redshift      All|All|All               All                   All      4.8949949055880655         0.20910063750605445       -4.34531391066065          -1.7202613269845346        
