#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3044.8753639479246    All      -0.061466618290345526      0.03710151918401294        0.13095971893233735        0.03795101595051749       
Zeropoint     AB|SDSS|SDSS_g            4003.8517002951226    All      -0.8131114473044857        0.5552504963585392         -0.22536405086484557       0.43566354029138143       
Zeropoint     AB|SDSS|SDSS_z            7543.101955009405     All      0.09328076427682351        0.00651580126920237        0.1380857398894627         -0.022100070567675812     
Zeropoint     AB|SDSS|SDSS_r            5231.837247436721     All      0.641067681326492          0.33224774551072755        -0.5254162184448858        -0.12403972564909242      
Zeropoint     AB|SDSS|SDSS_i            6344.517094538374     All      1.1333036599556936         0.06931054659791158        0.49117753138726655        -0.32465856402531806      
Check         All|All|All               All                   All      0.993074039964178          1.0004261089203936         0.009442720899335233       0.0028161959998125874     
Lambda        AB|SDSS|SDSS_u            3044.8753639479246    All      -5.867252463528995e-05     3.73783032937136e-05       0.00014065627463991082     3.756375816113073e-05     
Lambda        AB|SDSS|SDSS_g            4003.8517002951226    All      -0.0006908960820341819     0.00033365260761657027     -0.0012222295819452973     0.00027918672212516176    
Lambda        AB|SDSS|SDSS_z            7543.101955009405     All      -1.1189265883975297e-05    -1.1440065379235134e-07    -8.547844701962113e-06     3.2259969074964613e-06    
Lambda        AB|SDSS|SDSS_r            5231.837247436721     All      0.0001986740192463973      0.00010956818096421401     -0.0005037149366620306     -5.150318716771384e-05    
Lambda        AB|SDSS|SDSS_i            6344.517094538374     All      -0.00028843762013211       -3.414716496898775e-05     -0.00028059601145160137    7.030905589389344e-05     
MWEBV         All|All|All               All                   All      -0.7044691630291373        -3.2374087405393936        0.3147807171593317         -0.8110145339607256       
Redshift      All|All|All               All                   All      4.945994994107518          -0.18437587893060936       -3.7332645665605164        -1.8377290288784751       
