#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4090.6501011949745    All      -0.8533409586824889        0.5120919200436447        -0.7412687970848808       0.41168698811905696       
Zeropoint     AB|SDSS|SDSS_r            5345.256809607897     All      0.8516290406988702         0.42198751856830086       0.3462502430363755        -0.12449682046729182      
Zeropoint     AB|SDSS|SDSS_z            7706.626789725712     All      0.10719446606665406        0.002067095870827984      0.09125245617635272       -0.03017126504875106      
Zeropoint     AB|SDSS|SDSS_i            6482.058137391463     All      0.9632425338759779         0.0007475723402095014     0.11207442068346343       -0.3085149074599785       
Zeropoint     AB|SDSS|SDSS_u            3110.88438034345      All      -0.0746903186000945        0.06411902374345857       0.20289889897237212       0.05426921547321435       
Check         All|All|All               All                   All      0.9940347633589189         1.0010131305664416        0.011207221783682969      0.0027732106162499243     
Lambda        AB|SDSS|SDSS_g            4090.6501011949745    All      -0.0007982691204487082     0.0002790295378920099     -0.0016648643126297412    0.00027661636726724546    
Lambda        AB|SDSS|SDSS_r            5345.256809607897     All      0.00026844479139651517     7.531211408669456e-05     -0.0005685071652129513    -8.827953060064983e-05    
Lambda        AB|SDSS|SDSS_z            7706.626789725712     All      1.6555869408161723e-06     1.2722874917568984e-06    1.351173257743084e-05     4.781133270517106e-07     
Lambda        AB|SDSS|SDSS_i            6482.058137391463     All      -0.000298249611368143      -3.899816882344144e-05    -0.0004147891464207546    6.593658940881375e-05     
Lambda        AB|SDSS|SDSS_u            3110.88438034345      All      -5.6611845296949926e-05    4.956230279518137e-05     0.00015928437748607272    4.1692543259844716e-05    
MWEBV         All|All|All               All                   All      -0.7317521171409589        -3.303036892990363        0.40293753928016757       -0.8195707924977268       
Redshift      All|All|All               All                   All      6.500690580514737          -0.38264893617068196      5.954912229709603         -1.9763897528388286       
