#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4090.6501011949745    All      -0.8501966598237761        0.5018890155806588         -0.8302111309208604        0.40337027702549744        
Zeropoint     AB|SDSS|SDSS_r            5345.256809607897     All      0.8360739373804247         0.41982778070277504        0.2745887749328879         -0.12333143143708272       
Zeropoint     AB|SDSS|SDSS_z            7706.626789725712     All      0.11699596172388402        -7.041647265282336e-06     0.07911419570987288        -0.03458122428628557       
Zeropoint     AB|SDSS|SDSS_i            6482.058137391463     All      0.9623899945158125         0.0231685597039899         0.3295581422799676         -0.2912286545014551        
Zeropoint     AB|SDSS|SDSS_u            3110.88438034345      All      -0.07162305583875725       0.056036617023380586       0.15472353159280972        0.04848755592519634        
Check         All|All|All               All                   All      0.9936401779575876         1.000914931363539          0.007773513594677706       0.002716522725870432       
Lambda        AB|SDSS|SDSS_g            4090.6501011949745    All      -0.0008160970260521462     0.0003084981070010883      -0.0016740620311751862     0.00029161193315382217     
Lambda        AB|SDSS|SDSS_r            5345.256809607897     All      0.00023866631829090837     8.169250013737822e-05      -0.000674698503571014      -8.124023229405833e-05     
Lambda        AB|SDSS|SDSS_z            7706.626789725712     All      2.061006998564688e-07      -2.2484653451682597e-07    -3.4150966982981507e-06    -2.9277377265151193e-07    
Lambda        AB|SDSS|SDSS_i            6482.058137391463     All      -0.00023292738597319775    -2.924361237693521e-05     -0.0002768313166865114     5.3992795833944786e-05     
Lambda        AB|SDSS|SDSS_u            3110.88438034345      All      -5.5495491273935835e-05    5.0611180925478105e-05     0.0001630365287943963      4.183800542157858e-05      
MWEBV         All|All|All               All                   All      -0.7239290165717116        -3.3067664269013974        0.4025284542319152         -0.8233521212051835        
Redshift      All|All|All               All                   All      6.332358303465179          -0.5941582185272409        5.346397246965817          -2.017609152820229         
