#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                3948.8663565611364    All      -0.8163650012947766        0.494416921860541          0.18795987452713014        0.4353525817477311        
Zeropoint     AB|PS|PS_r                5014.79220041974      All      0.1250071882049944         0.5257520199513976         -0.6692599581869673        0.10066977767908429       
Zeropoint     AB|PS|PS_i                6073.999441859892     All      1.2743688319182744         -0.005529953624971995      0.1270748611262494         -0.4112343744524268       
Zeropoint     AB|PS|PS_z                6980.507456017395     All      0.412601854100499          -0.01574191169204653       0.35588725075432587        -0.1236440431398055       
Check         All|All|All               All                   All      0.9956128729289909         0.9988970764949201         0.0016620282207381876      0.0011439418345831481     
Lambda        AB|PS|PS_g                3948.8663565611364    All      -0.0006767458649328248     0.00034638147970225875     -0.0003991365904384334     0.000315454603174273      
Lambda        AB|PS|PS_r                5014.79220041974      All      -0.00023948519650177102    -0.00012064272524839749    -0.002331947443491329      -6.53532014674067e-05     
Lambda        AB|PS|PS_i                6073.999441859892     All      -0.0001439715135026239     -2.8936414022360055e-05    -0.00046435215763847336    1.6748812339997718e-05    
Lambda        AB|PS|PS_z                6980.507456017395     All      -0.00022715073418647487    1.975875247611402e-06      -0.0002687736842354422     6.263993963968427e-05     
MWEBV         All|All|All               All                   All      -0.5189400893646274        -3.095476243701789         0.03992847128262136        -0.8374807667007957       
Redshift      All|All|All               All                   All      4.623382347695813          0.1504461492812581         4.084303302789856          -1.2747187771766597       
