#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3948.8663565611364    All      -0.8775030683696219        0.5548571604595764         0.34005231511039513       0.48174182280108224        
Zeropoint     AB|PS|PS_r                5014.79220041974      All      0.038703696369513874       0.5004381398769908         -0.7045727408287572       0.11896025342473526        
Zeropoint     AB|PS|PS_i                6073.999441859892     All      1.3450945932180398         -0.028376483865599766      -0.02832766504513584      -0.44864884924912807       
Zeropoint     AB|PS|PS_z                6980.507456017395     All      0.49063247290656964        -0.0279912036532437        0.3959869349054568        -0.15126171546507028       
Check         All|All|All               All                   All      0.9969276941245013         0.9989276128177238         0.003138844141958863      0.0007915115116191584      
Lambda        AB|PS|PS_g                3948.8663565611364    All      -0.0008624289246281495     0.0004584904638551204      -0.0002931770088398507    0.00041718375839485685     
Lambda        AB|PS|PS_r                5014.79220041974      All      -0.00013255391347614796    -0.00010661343391412255    -0.002468656559362403     -0.00010171513650508919    
Lambda        AB|PS|PS_i                6073.999441859892     All      -2.835145126540685e-05     -3.150904043761625e-05     -0.0005636525888865847    -2.6181756954290392e-05    
Lambda        AB|PS|PS_z                6980.507456017395     All      -0.0002242588097155211     7.194945801442935e-06      -0.0002719685306197581    6.325539635897628e-05      
MWEBV         All|All|All               All                   All      -0.5118255398485241        -3.1000926447518395        0.03187195481809679       -0.841661448564572         
Redshift      All|All|All               All                   All      4.245229019344017          -0.35952609308935735       4.022589020386668         -1.3204105591662545        
