#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5287.777556063901    All      0.9439951178460713        0.255138913694708          -0.07526219861973864      -0.22774173464568973       
Zeropoint     AB|PS|PS_z                6076.946665731507    All      0.8891958475049639        0.006763789133223952       -0.4866819886941811       -0.3091555344699814        
Zeropoint     AB|PS|PS_g                3437.722886211859    All      -0.5733620497000214       0.12618597153100097        -0.6065312948005963       0.2007990989717722         
Zeropoint     AB|PS|PS_r                4365.674692519255    All      -0.2699135178883787       0.6110728213151617         1.1659052817706186        0.33899523218440236        
Check         All|All|All               All                  All      0.9899153977626353        0.9991614956740946         -0.002570200343897433     0.0028970620405033842      
Lambda        AB|PS|PS_i                5287.777556063901    All      0.0001609112084333739     -1.6482973601817207e-06    -0.001764796280892693     -0.00013170573168594613    
Lambda        AB|PS|PS_z                6076.946665731507    All      -0.0002080771571979969    -2.3193664737217297e-05    -0.000265425044723282     4.8377935287846894e-05     
Lambda        AB|PS|PS_g                3437.722886211859    All      -0.0009392154367092084    0.00018009999374070192     -0.0012540629025591052    0.0003086347924427729      
Lambda        AB|PS|PS_r                4365.674692519255    All      -7.607517492359096e-05    -7.278445887983895e-05     -0.0006837916285673413    -2.9442585364812293e-05    
MWEBV         All|All|All               All                  All      -0.4656974758650052       -2.5245808332890363        -0.1765322838163526       -0.6785238698067986        
Redshift      All|All|All               All                  All      2.8992169527514626        0.32626880809587533        4.292819747207776         -0.6465250290840788        
