#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                5287.777556063901    All      0.9724276661630513         0.25529052215453873        -0.08226026651760865       -0.23726605880176713       
Zeropoint     AB|PS|PS_z                6076.946665731507    All      0.9920112282637993         0.024047898595114248       -0.0690811403808389        -0.3183802755377394        
Zeropoint     AB|PS|PS_g                3437.722886211859    All      -0.6515758317018566        0.1140295691476112         -0.9312605056018497        0.2078249874859982         
Zeropoint     AB|PS|PS_r                4365.674692519255    All      -0.32344769378516613       0.6056891523464003         1.0763557441033689         0.3506832518155466         
Check         All|All|All               All                  All      0.9894153689398276         0.9990571422436645         -0.0062461683969283754     0.0028619049620383086      
Lambda        AB|PS|PS_i                5287.777556063901    All      0.0001056376743641161      -1.1149803491612811e-05    -0.0019576998733323867     -0.0001254046776880345     
Lambda        AB|PS|PS_z                6076.946665731507    All      -0.00015831038589319288    -1.9423559174577583e-05    -0.00026414194125405817    3.345256702501932e-05      
Lambda        AB|PS|PS_g                3437.722886211859    All      -0.0006004730728453916     0.0002801089845033052      0.0006056501674490017      0.0003138619316902965      
Lambda        AB|PS|PS_r                4365.674692519255    All      -1.2728833164555702e-05    -6.241031880005319e-05     -0.000547769250740137      -4.0627320191171424e-05    
MWEBV         All|All|All               All                  All      -0.46466153041683          -2.5337551136761505        -0.25174529228088605       -0.6852060873947239        
Redshift      All|All|All               All                  All      2.1706813339502946         0.13572478274692656        1.5800185772597841         -0.5923433244686572        
