#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6365.392420155329     All      1.4843379010815543         0.07888054373133002        2.456176610297761         -0.34819581815616646      
Zeropoint     AB|PS|PS_i                5538.764946653515     All      0.2505534977234166         0.21756720761292314        -2.6934987590108483       -0.13094319872800644      
Zeropoint     AB|PS|PS_r                4572.893942501123     All      -0.34284790320943476       0.3647016948525206         -0.3248208221048065       0.2159769203366765        
Zeropoint     AB|PS|PS_g                3600.8963721674177    All      -0.3942863410678137        0.3386742931001052         0.5862464219943547        0.26491087751828846       
Check         All|All|All               All                   All      0.9977571545277225         0.999823739296879          0.024103451176460733      0.0017487809707920077     
Lambda        AB|PS|PS_z                6365.392420155329     All      0.00026758799293465226     -1.3314827403750269e-05    -6.310668667901277e-05    -9.431545160046493e-05    
Lambda        AB|PS|PS_i                5538.764946653515     All      -2.4107546505203848e-05    -3.504875423824828e-06     -0.0012780842798178205    -5.032406360054151e-05    
Lambda        AB|PS|PS_r                4572.893942501123     All      -0.0002372938029518359     -0.00016547815835387964    -0.0023262922015232926    -8.041901857027195e-05    
Lambda        AB|PS|PS_g                3600.8963721674177    All      -0.000567928670558706      0.0004504661228808087      0.0005378092915242565     0.00035572464702877455    
MWEBV         All|All|All               All                   All      -0.4556930614882413        -2.674884041730863         0.05594069564624888       -0.7203671351593112       
Redshift      All|All|All               All                   All      4.584525816098932          0.04083455267593905        4.071227670233642         -1.2983495350491803       
