#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6365.392420155329     All      1.4970863146327926        0.07058179991510372        2.634465901638122         -0.3470953375222366        
Zeropoint     AB|PS|PS_i                5538.764946653515     All      0.1777530728939446        0.2346905149698486         -3.0052891490960576       -0.11556585386001822       
Zeropoint     AB|PS|PS_r                4572.893942501123     All      -0.3317384380773066       0.4181722369937191         0.08558834617861666       0.2480899929959271         
Zeropoint     AB|PS|PS_g                3600.8963721674177    All      -0.34649636274001244      0.27607090061518846        0.299795237828393         0.21616912408393835        
Check         All|All|All               All                   All      0.9966045867094182        0.9995154524938599         0.014560336549074071      0.001597925697610636       
Lambda        AB|PS|PS_z                6365.392420155329     All      0.00048334900056698276    5.694714778524246e-05      0.0017150838036253022     -6.23567985944866e-05      
Lambda        AB|PS|PS_i                5538.764946653515     All      -6.737060556512338e-05    1.8930108718294763e-05     -0.0014257513232949887    -3.551375146840239e-05     
Lambda        AB|PS|PS_r                4572.893942501123     All      -0.0002654193012062561    -0.00011614152846801574    -0.0022218474200787226    -5.0526164108320754e-05    
Lambda        AB|PS|PS_g                3600.8963721674177    All      -0.0005394867089152452    0.0004874235957399378      0.0007972873535821814     0.00037007774335372706     
MWEBV         All|All|All               All                   All      -0.4515761247343728       -2.6780619619115598        0.050278800699005144      -0.7229959744239164        
Redshift      All|All|All               All                   All      4.205486927649727         -0.46043005254556846       -0.5839282693602399       -1.545900701334739         
