#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6118.795426767749     All      1.0759291960052992         -0.04028640370021819       0.06996655313249191        -0.3604658573050052       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5286.4999581157135    All      0.671387445029813          0.20762955540867267        0.03213821805679019        -0.1496270207646124       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4327.084581331926     All      -0.5238074740018355        0.33093367080745395        -0.12325757556156909       0.27291689151705356       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3536.197952351219     All      -0.27212233469219327       0.10166020612256688        -0.041333251634125746      0.11990875744002766       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7481.16433344221      All      0.33934307924354623        -0.03687034184274296       0.0637868224305737         -0.11969857537892528      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4726.934551721563     All      -0.29631259147047473       0.4350255126196245         -0.000889254492624328      0.2381811974672996        
Check         All|All|All                              All                   All      0.9944173201141547         0.9980921994153569         0.0004115119315366302      0.0012153929758379756     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6118.795426767749     All      -0.00015949666833667164    -1.7516988565976176e-05    -0.0003390274279985303     3.1118215679119484e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5286.4999581157135    All      0.00019966977287058535     1.1523702897257022e-05     -0.0006015778685220693     -8.81310221370853e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4327.084581331926     All      -0.00027075796734368605    8.1512438575056e-05        -0.0005468038627328524     9.034471554538804e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3536.197952351219     All      -0.00040803889533465933    0.00010725239053275606     -0.0002863812045152187     0.00015506744653056366    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7481.16433344221      All      -7.445471313627924e-05     -1.6888772011534625e-06    -0.00012472368923218603    1.8136381273718662e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4726.934551721563     All      -6.300904147481945e-05     -0.00011375043868171406    -0.0011158463082818512     -6.632323825456295e-05    
MWEBV         All|All|All                              All                   All      -1.0463449326677905        -3.955151330544826         -0.007422184742052239      -0.9478251586927352       
Redshift      All|All|All                              All                   All      5.17720499058423           1.0245966320600708         6.0030138062287435         -1.0847542238015706       
