#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_v       5388.4659230919715    All      1.9712536307658854         0.3431353003935378        0.26199888844279373       -0.5186398966305162        
Zeropoint     VEGAHST|UVOT|UVOT_b       4337.116335928419     All      -0.2347361936023995        0.5007180726021687        0.1389789866873936        0.2457636440979613         
Zeropoint     VEGAHST|UVOT|UVOT_u       3460.0781811069005    All      -0.7440153005310476        0.1556097152959346        -0.40472711596137856      0.2749763520978089         
Check         All|All|All               All                   All      0.9925021366324382         0.9994630882916411        -0.003749240831191214     0.0021000995652539767      
Lambda        VEGAHST|UVOT|UVOT_v       5388.4659230919715    All      0.0006223783951987359      0.00011913234564754791    0.0005555258681283776     -0.00013913322658553755    
Lambda        VEGAHST|UVOT|UVOT_b       4337.116335928419     All      -0.000114633233730561      -3.611956564427147e-05    -0.0008308144131070277    -1.15009467457242e-05      
Lambda        VEGAHST|UVOT|UVOT_u       3460.0781811069005    All      -0.00030395078895164104    -4.613289240439934e-05    -0.0016376381866763448    1.0899499991069203e-05     
MWEBV         All|All|All               All                   All      -1.5666358980771204        -3.905700098203191        0.08014710913983869       -0.7583335655289618        
Redshift      All|All|All               All                   All      -0.4047945998918059        -0.28320880025534123      -6.36412744716156         -0.2443972835910975        
