#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_v       5388.4659230919715    All      1.9113219723126151         0.3440735089117908         0.11607812468612048       -0.505324351895383         
Zeropoint     VEGAHST|UVOT|UVOT_b       4337.116335928419     All      -0.13796550966887144       0.4857308132952376         0.1365251614837739        0.20925090230859483        
Zeropoint     VEGAHST|UVOT|UVOT_u       3460.0781811069005    All      -0.7833558740546169        0.17003021274435426        -0.24802518014750044      0.29948098928949957        
Check         All|All|All               All                   All      0.9900005885891269         0.9998345349513826         0.0045781060223939185     0.0034075397027113485      
Lambda        VEGAHST|UVOT|UVOT_v       5388.4659230919715    All      0.0005108680703617943      0.00010349526512617523     0.00038873852943836865    -0.00011534710967510184    
Lambda        VEGAHST|UVOT|UVOT_b       4337.116335928419     All      -0.00011243813286264646    -7.439951436804092e-05     -0.0011423201761956334    -3.8586073499738196e-05    
Lambda        VEGAHST|UVOT|UVOT_u       3460.0781811069005    All      -0.000325672723196815      -0.00010532748655931495    -0.002238799449698958     -2.813364429031179e-05     
MWEBV         All|All|All               All                   All      -1.5952378093637205        -3.9032829120532853        0.1082468005539915        -0.746975664825299         
Redshift      All|All|All               All                   All      0.2714453302233588         0.05460353175950061        -3.9791097844857597       -0.24820190193433467       
