#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3072.9894705672987    All      -0.06503041142005897      0.03561075720561746       0.11233982496535455       0.037795350047534204       
Zeropoint     AB|SDSS|SDSS_z            7612.749328795169     All      0.06431937591877726       -0.0030309742305334453    0.07331520125950786       -0.018666504096663886      
Zeropoint     AB|SDSS|SDSS_i            6403.097630266123     All      0.9663682991782845        -0.03215737571267141      -0.20088522682607246      -0.33421724787170287       
Zeropoint     AB|SDSS|SDSS_r            5280.144127886152     All      0.9414910301845605        0.4856863756661056        0.995723625305428         -0.10403599930019908       
Zeropoint     AB|SDSS|SDSS_g            4040.820278688529     All      -0.9121276128515036       0.513274524210594         -0.9737973096237668       0.42084426893929694        
Check         All|All|All               All                   All      0.9950206810100597        0.9993833071391123        0.006696115080451204      0.0017198677182653221      
Lambda        AB|SDSS|SDSS_u            3072.9894705672987    All      -5.445282021159735e-05    3.1416843199473174e-05    0.00012449246471648814    3.3526101328087756e-05     
Lambda        AB|SDSS|SDSS_z            7612.749328795169     All      -4.376097744028428e-06    1.2591819819385029e-06    2.441828064360459e-05     2.9252717179611596e-06     
Lambda        AB|SDSS|SDSS_i            6403.097630266123     All      -0.0002924500769652032    3.0233824396928778e-05    0.0002533057333152646     0.00011641263414538214     
Lambda        AB|SDSS|SDSS_r            5280.144127886152     All      0.00027756520209453427    0.00016985666652185962    0.0005591256743761357     -1.0133002665519246e-05    
Lambda        AB|SDSS|SDSS_g            4040.820278688529     All      -0.0008184380067621492    0.00036936879246369944    -0.0016207676491200487    0.0003145803359271668      
MWEBV         All|All|All               All                   All      -0.6822024948005412       -3.2992312576004323       0.2972098928347211        -0.8391892532513142        
Redshift      All|All|All               All                   All      5.941672317438062         -1.3746468239686394       -6.623020676549642        -2.6787208384671017        
