#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3072.9894705672987    All      -0.06534508702327738       0.03700916162330259       0.14202537271045673        0.039678086224075745      
Zeropoint     AB|SDSS|SDSS_z            7612.749328795169     All      0.0729066616949465         -0.002782591329442141     0.05829296512213796        -0.022053132509008387     
Zeropoint     AB|SDSS|SDSS_i            6403.097630266123     All      0.9717680615676603         -0.02661163493140606      -0.27238534399250064       -0.33736041974789543      
Zeropoint     AB|SDSS|SDSS_r            5280.144127886152     All      0.9344079627842198         0.45659040644103754       0.8530839644332199         -0.11757167857193197      
Zeropoint     AB|SDSS|SDSS_g            4040.820278688529     All      -0.920468231381157         0.5359766020662349        -0.773478482879876         0.43989520563284984       
Check         All|All|All               All                   All      0.9932693676423923         1.0001819438697268        0.007538475393437993       0.002588061028089783      
Lambda        AB|SDSS|SDSS_u            3072.9894705672987    All      -6.055421213155241e-05     3.448074027847393e-05     0.00013696631687181292     3.706818821546082e-05     
Lambda        AB|SDSS|SDSS_z            7612.749328795169     All      -6.770961592893037e-06     4.344802881307572e-07     -1.5279218468533832e-07    2.3402310591928022e-06    
Lambda        AB|SDSS|SDSS_i            6403.097630266123     All      -0.00034779127136480093    1.6678603777768598e-05    -2.2778551825524377e-05    0.00011770332688679893    
Lambda        AB|SDSS|SDSS_r            5280.144127886152     All      0.0003247758153728876      0.00013774846376985494    0.00047029868219854675     -3.9933691251411e-05      
Lambda        AB|SDSS|SDSS_g            4040.820278688529     All      -0.000822421143056877      0.0003320155883150574     -0.0017414069198855898     0.0002983270304063872     
MWEBV         All|All|All               All                   All      -0.7110691026268134        -3.2861468998772736       0.33801949369994777        -0.8237032985711946       
Redshift      All|All|All               All                   All      6.070255483002857          -0.9804967552929256       -3.5433990486200697        -2.4547875921683167       
