#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6962.052340967837    All      0.6797723537124033         0.04173939397436044        0.997199336798468         -0.16332789921715074      
Zeropoint     AB|PS|PS_g                3938.426315721005    All      -0.6935713495743391        0.6498941023348692         0.458277735363989         0.4580617269231514        
Zeropoint     AB|PS|PS_i                6057.940959118233    All      1.0868152511995615         0.10408498295397806        -0.5067122019140841       -0.34271981755954817      
Zeropoint     AB|PS|PS_r                5001.534057284517    All      -0.07580440109112235       0.20332666390210363        -0.9433895056777352       0.0488230302004483        
Check         All|All|All               All                  All      0.9972118542465034         0.9990451431653113         0.005375364570637808      0.0008370403469007831     
Lambda        AB|PS|PS_z                6962.052340967837    All      -0.0004871247011592706     -2.8057721492899255e-05    -0.0009801338939284122    0.00010579434403849474    
Lambda        AB|PS|PS_g                3938.426315721005    All      -0.000730503907328989      0.0006034227087018127      4.021263311235592e-05     0.00043629828884924905    
Lambda        AB|PS|PS_i                6057.940959118233    All      -0.00011893600552903254    -4.6835580178800484e-05    -0.0005236946764172263    1.153924042580017e-07     
Lambda        AB|PS|PS_r                5001.534057284517    All      -0.00022501619164338115    -9.756177258325853e-05     -0.00237018534528735      -6.425438867890694e-05    
MWEBV         All|All|All               All                  All      -0.49540278697768025       -3.0910253776433194        0.05987838869531809       -0.8428075737506125       
Redshift      All|All|All               All                  All      6.484125624194215          0.32174706595746727        11.570073731151018        -1.4909701814557192       
