#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6962.052340967837    All      1.0091955487231252        -0.0635253099598998       1.5113448508359717        -0.2819760958040707       
Zeropoint     AB|PS|PS_g                3938.426315721005    All      -0.5789312385148753       0.6954269278455882        0.9038836556148677        0.455436556084593         
Zeropoint     AB|PS|PS_i                6057.940959118233    All      0.793946587856203         0.09745998668240219       -1.5815375036842383       -0.29744535478128387      
Zeropoint     AB|PS|PS_r                5001.534057284517    All      -0.22802608563712484      0.26936561176729157       -0.8357779491894313       0.12471990826236623       
Check         All|All|All               All                  All      0.996184812427328         0.9987272163353822        -0.002086946422830138     0.0007350137616046748     
Lambda        AB|PS|PS_z                6962.052340967837    All      -0.0005770716694141312    4.720150697464425e-05     -0.0010347165832118098    0.000157171662699921      
Lambda        AB|PS|PS_g                3938.426315721005    All      -0.0009289656301748493    0.00094219544141095       0.00045724423209187354    0.0006299034304177154     
Lambda        AB|PS|PS_i                6057.940959118233    All      0.0001809537675957331     -5.379550923889108e-06    -0.0005381633646354881    -8.471065129468537e-05    
Lambda        AB|PS|PS_r                5001.534057284517    All      -0.0002749385010827739    1.9018984673448617e-05    -0.00211874528866824      1.2017528367015166e-06    
MWEBV         All|All|All               All                  All      -0.47128662515344066      -3.1082437703883414       0.0645015043714725        -0.8560652896208498       
Redshift      All|All|All               All                  All      7.358251206536844         -1.1337345156473333       16.131565831156223        -2.0462414343048128       
