#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5055.810503970306     All      0.24314915310774768        0.31145910826921863       0.7181690431150934         0.05429938568998005       
Zeropoint     AB|PS|PS_g                3981.1659598987353    All      -0.8140287239311671        0.6186011516234657        -0.26284652512826406       0.4549250493850361        
Zeropoint     AB|PS|PS_z                7037.604253317181     All      0.5827110993129403         0.008231412917147907      0.419142045598944          -0.16842254923411631      
Zeropoint     AB|PS|PS_i                6123.681491068496     All      0.9856265441300429         0.05988307283910643       -0.8751294063126042        -0.34059811073477636      
Check         All|All|All               All                   All      0.9974580726195639         0.9981747456489387        -0.0006648427268307611     0.0002037751061234605     
Lambda        AB|PS|PS_r                5055.810503970306     All      -8.208315586423721e-05     -4.391141249165207e-05    -0.00040186411654577345    -5.4995571968032e-06      
Lambda        AB|PS|PS_g                3981.1659598987353    All      -0.0005491338514103524     0.00045267830421567894    -7.845027711634254e-05     0.000322822302169737      
Lambda        AB|PS|PS_z                7037.604253317181     All      -0.00019330777644338895    -6.622107543882715e-06    -0.00019988859464812337    5.188955421261021e-05     
Lambda        AB|PS|PS_i                6123.681491068496     All      -0.0002485412884444356     -5.202867456341134e-05    -0.0016002370881438134     -7.400608206735573e-06    
MWEBV         All|All|All               All                   All      -0.5126517868401632        -3.137146554146142        0.03355798767459914        -0.8533867501610941       
Redshift      All|All|All               All                   All      6.236722736762345          -0.1273477725121097       -1.3339762486172113        -2.1325163698159653       
