#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4159.0359726137485    All      -0.8209556381801019       0.6269712252272797         -0.26351903954743294      0.459877770354848          
Zeropoint     AB|SDSS|SDSS_i            6590.422623071423     All      1.1121887566800341        -0.04949578946131794       1.3335265973154822        -0.31888970759255086       
Zeropoint     AB|SDSS|SDSS_u            3162.890915727812     All      -0.04994703366955017      0.0424246095398928         0.32655889761908863       0.044661306900084075       
Zeropoint     AB|SDSS|SDSS_r            5434.616700050589     All      0.6053647693319179        0.39613058798231293        -1.7260890865400473       -0.14518188475752164       
Zeropoint     AB|SDSS|SDSS_z            7835.463130081663     All      0.14738225804266047       -0.015585037429310944      0.3451304034473724        -0.037682224820743127      
Check         All|All|All               All                   All      0.9940331122049604        1.0004455958588565         0.015607772294462807      0.0027852600841164477      
Lambda        AB|SDSS|SDSS_g            4159.0359726137485    All      -0.000774453978152913     0.0003632557033570617      -0.001486141499449127     0.000304269803285161       
Lambda        AB|SDSS|SDSS_i            6590.422623071423     All      -0.0004382269774844664    2.139753046874457e-05      -0.0008254785083402383    0.00011287750889596038     
Lambda        AB|SDSS|SDSS_u            3162.890915727812     All      -3.392075195371932e-05    2.9893166819379033e-05     0.0002548500834568919     3.215908150055132e-05      
Lambda        AB|SDSS|SDSS_r            5434.616700050589     All      4.992969331027604e-06     0.00010163478480534928     -0.0022559192660152982    -6.919189705855837e-05     
Lambda        AB|SDSS|SDSS_z            7835.463130081663     All      1.6928621502119427e-05    -1.3068527902111918e-06    5.66785235563705e-05      -3.4105917150188466e-06    
MWEBV         All|All|All               All                   All      -0.6962507996969673       -3.433980765899136         0.5937252622471632        -0.865273487060035         
Redshift      All|All|All               All                   All      5.564656937754846         -0.7877867406644867        13.60338839748627         -1.462143149173848         
