#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4159.0359726137485    All      -0.8389170725297471        0.6559993347206472        -0.19041321988084725      0.47844618766342617       
Zeropoint     AB|SDSS|SDSS_i            6590.422623071423     All      1.0795739899741859         -0.02417429137189231      1.505073875966989         -0.2923625929441696       
Zeropoint     AB|SDSS|SDSS_u            3162.890915727812     All      -0.03017372938725857       0.02277138880550922       0.19814707238652307       0.026088360622059104      
Zeropoint     AB|SDSS|SDSS_r            5434.616700050589     All      0.6601395816951687         0.3533309727597356        -1.7771230218619483       -0.17924249606857331      
Zeropoint     AB|SDSS|SDSS_z            7835.463130081663     All      0.12524707441018174        -0.008097793179118185     0.27933139368387927       -0.030969533112250314     
Check         All|All|All               All                   All      0.9958698441625305         0.9998296117348815        0.01501610029459588       0.001959926160492037      
Lambda        AB|SDSS|SDSS_g            4159.0359726137485    All      -0.0007418156000788287     0.0003404367627825352     -0.0012729279655722704    0.00029572027087230063    
Lambda        AB|SDSS|SDSS_i            6590.422623071423     All      -0.00047688614258355405    8.650908523980194e-06     -0.0007318657596221174    0.0001254955837261577     
Lambda        AB|SDSS|SDSS_u            3162.890915727812     All      -1.2861961229994558e-05    2.0573682686436456e-05    0.00026645058096180796    2.2781554888664074e-05    
Lambda        AB|SDSS|SDSS_r            5434.616700050589     All      8.840360247031482e-05      0.0001108775209072104     -0.0017204446322373892    -6.94550476155136e-05     
Lambda        AB|SDSS|SDSS_z            7835.463130081663     All      2.0216443347141677e-05     -1.120043007563627e-06    4.155906811173029e-05     -5.095405219347966e-06    
MWEBV         All|All|All               All                   All      -0.704688724536962         -3.4398530406955174       0.46458014285262195       -0.87020092396995         
Redshift      All|All|All               All                   All      5.968352512915271          -0.6071886576677343       15.38638221059887         -1.4552465171762083       
