#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                6369.206456512279    All      0.9656344468628459        -0.09043616992059356       -0.4875332502817247        -0.3657533133785133       
Zeropoint     AB|PS|PS_r                5258.519887384209    All      0.31375656548589315       0.5088845434574552         0.5061616386625526         0.08614727116232304       
Zeropoint     AB|PS|PS_g                4140.788179989015    All      -0.8458005258146402       0.6344986765565608         -0.284597308287658         0.46948187984879214       
Zeropoint     AB|PS|PS_z                7319.772348379426    All      0.5627129141225921        -0.054169112767255         0.26745096798137213        -0.18900366263074891      
Check         All|All|All               All                  All      0.9963034006566909        0.9987779373261674         0.0014820480745420528      0.0008721750018529928     
Lambda        AB|PS|PS_i                6369.206456512279    All      -0.0002668339890346592    -1.6610894884565422e-05    -0.00034145360322788325    6.626838778758103e-05     
Lambda        AB|PS|PS_r                5258.519887384209    All      6.28029079706441e-05      9.336581818981389e-05      -1.5357067388907983e-05    9.270029963156155e-06     
Lambda        AB|PS|PS_g                4140.788179989015    All      -0.0007514787441674372    0.00035330097750826294     -0.0015348300810899445     0.0002913706842235758     
Lambda        AB|PS|PS_z                7319.772348379426    All      -9.223719646714021e-05    1.5444990529434557e-05     1.434834212436712e-05      3.5715931552968424e-05    
MWEBV         All|All|All               All                  All      -0.5254414124999829       -3.3224613239262624        0.06582963955984304        -0.9081437299044237       
Redshift      All|All|All               All                  All      6.380043237802438         -0.16588525571972212       0.29191354784741885        -2.1191975040609328       
