#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                6179.733495563401    All      1.6466343889845392         0.264085036165973          2.315841081204184         -0.34699645755491626       
Zeropoint     AB|PS|PS_g                4017.606838250211    All      -0.7335065258567737        0.28992866461408084        -1.1139730366113487       0.28365501122315956        
Zeropoint     AB|PS|PS_r                5102.087945654244    All      -0.30382792844632656       0.9609561984785131         1.0052240666853618        0.45684033357027176        
Zeropoint     AB|PS|PS_z                7102.021683553493    All      0.38663726052641           -0.5165711017756536        -2.2079106904522083       -0.3927335918221551        
Check         All|All|All               All                  All      0.9959371952078487         0.9983987974829134         -0.0008185791740111803    0.0007652954163599457      
Lambda        AB|PS|PS_i                6179.733495563401    All      -0.0004608197481792536     -0.0002717239130479887     -0.0020888150584933       -3.1619487909549605e-05    
Lambda        AB|PS|PS_g                4017.606838250211    All      -0.000600543244087228      0.0002575051193396589      -0.0007875193220812282    0.0002443512105217455      
Lambda        AB|PS|PS_r                5102.087945654244    All      0.0001681563984315051      0.00021231506804318827     0.0009083099560760974     5.49176330925435e-05       
Lambda        AB|PS|PS_z                7102.021683553493    All      -0.00013462552125660166    -0.00014502352565722628    -0.0009510277333131859    -4.5826971942844e-05       
MWEBV         All|All|All               All                  All      -0.5307064420856191        -3.2291893583675346        -0.23521569950261112      -0.8894812596461802        
Redshift      All|All|All               All                  All      5.820902032674064          -1.5045708908434818        -8.895253544966463        -2.7831018433804404        
