#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                6179.733495563401    All      1.50797168203309           0.32459112975296023        2.11945002181085          -0.2908846577498512        
Zeropoint     AB|PS|PS_g                4017.606838250211    All      -0.5756414192028856        0.26657618594327914        -0.8180514894594447       0.2378321013323195         
Zeropoint     AB|PS|PS_r                5102.087945654244    All      -0.4049793564464883        0.979376451591385          0.8495133682640726        0.48884011058307864        
Zeropoint     AB|PS|PS_z                7102.021683553493    All      0.46552577840028375        -0.5705805564698352        -2.1549154974228766       -0.4336579016342193        
Check         All|All|All               All                  All      0.9928766847839997         0.9999632108177892         -0.004003596807398591     0.0021296525313276304      
Lambda        AB|PS|PS_i                6179.733495563401    All      -4.793504867949745e-05     -0.00014863210388692892    -0.0007248927721098518    -6.514897882295805e-05     
Lambda        AB|PS|PS_g                4017.606838250211    All      -0.0005498021100828623     0.0002539468723333136      -0.0007859967125964329    0.00022673206279819692     
Lambda        AB|PS|PS_r                5102.087945654244    All      -0.00010224050792905095    0.0002824998391508336      0.00016714496073639694    0.00013278150055399704     
Lambda        AB|PS|PS_z                7102.021683553493    All      -0.0001392270646237965     -0.0001291362759077184     -0.0009460096449850576    -3.8929163728623717e-05    
MWEBV         All|All|All               All                  All      -0.526614525455634         -3.225591300348185         -0.1788524018873192       -0.8871268905378221        
Redshift      All|All|All               All                  All      6.4625879980557634         -0.854446113245011         -2.352657672443481        -2.4883870398780235        
