#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     AB|PS|PS_g                3801.96730648334      All      -0.8007668020691175        0.5801358637748777         0.38561720923406817       0.4670137535860139       
Zeropoint     AB|PS|PS_z                6720.83041917715      All      1.0376341112592908         0.13851936212141425        1.1648492186335346        -0.24088938312217673     
Zeropoint     AB|PS|PS_r                4828.2403791976285    All      0.14567304829832606        0.17940029411764868        -0.9622109260822853       -0.0319529807993324      
Zeropoint     AB|PS|PS_i                5848.044783581886     All      0.6141408235801913         0.10125540025480717        -0.57964078913737         -0.19293036203166247     
Check         All|All|All               All                   All      0.9966811810686906         0.9993109202687478         0.008614712647947442      0.0012410276328422842    
Lambda        AB|PS|PS_g                3801.96730648334      All      -0.0009224349003038724     0.000657715375549954       0.0003889494093798109     0.0005320639560061435    
Lambda        AB|PS|PS_z                6720.83041917715      All      -0.0007317261721272898     -8.447894948121402e-05     -0.0006186230233765174    0.0001832234099164472    
Lambda        AB|PS|PS_r                4828.2403791976285    All      -0.00010166555456299883    -1.9209578869107998e-05    -0.0008022293223492571    -8.94118614591446e-06    
Lambda        AB|PS|PS_i                5848.044783581886     All      -0.00026490125147600186    -7.07777807784245e-05      7.104468584522633e-05     6.640279891152227e-05    
MWEBV         All|All|All               All                   All      -0.4943263939354239        -2.9106952578041856        0.07319643227137185       -0.7838244145431869      
Redshift      All|All|All               All                   All      4.700047650765043          0.3915438236074209         1.1731924033824503        -1.3510672533857417      
