#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3801.96730648334      All      -0.7093557369001718       0.5872574976232059         0.7850288724670023        0.4573818208636342         
Zeropoint     AB|PS|PS_z                6720.83041917715      All      0.9106068788319369        0.12619653210510506        1.352765348802544         -0.19514055177227468       
Zeropoint     AB|PS|PS_r                4828.2403791976285    All      0.04899367248195109       0.16877553577412385        -1.4039274419794519       -0.02363394014951536       
Zeropoint     AB|PS|PS_i                5848.044783581886     All      0.747272120597908         0.11676167322303144        -0.7214780603142665       -0.2375742480905313        
Check         All|All|All               All                   All      0.9975169350116242        0.9989912387254662         0.012388718975827828      0.001033080851312873       
Lambda        AB|PS|PS_g                3801.96730648334      All      -0.0009848175563061715    0.0006788162665443598      0.00012660334503920826    0.000547549993850457       
Lambda        AB|PS|PS_z                6720.83041917715      All      -0.0008448744931961428    -0.00011626876654137034    -0.0012988974611414974    0.00017936702751739        
Lambda        AB|PS|PS_r                4828.2403791976285    All      -6.381227297958508e-05    -7.621177985698057e-06     -0.0007431104857850168    -1.4858319725947971e-05    
Lambda        AB|PS|PS_i                5848.044783581886     All      -0.0001964980714016566    -2.503607785435288e-05     0.000363514542143393      7.207279668434806e-05      
MWEBV         All|All|All               All                   All      -0.4778686937351999       -2.913853375755693         0.11539309296353019       -0.7883308886920161        
Redshift      All|All|All               All                   All      5.88387226610604          0.5580021725249296         5.989123603835409         -1.4675440260116155        
