#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5725.389494337381    All      0.3618425279447781         0.09353232288091817        -4.804810384296436        -0.30181408068810156      
Zeropoint     AB|PS|PS_r                4726.974188159714    All      0.386787061716119          0.4273552242700873         2.7164805935861693        0.1344384377443888        
Zeropoint     AB|PS|PS_z                6579.869563107484    All      1.0618278342516816         0.0707337160157806         2.7402335354287044        -0.20054792308865427      
Zeropoint     AB|PS|PS_g                3722.225885729506    All      -0.8005341565148876        0.4090066099749379         -0.5393067015725221       0.369920439209899         
Check         All|All|All               All                  All      1.0099232673976912         1.000627873141724          0.11259704314591534       0.0019968731775319437     
Lambda        AB|PS|PS_i                5725.389494337381    All      -4.643970173303123e-05     -2.5008278994218358e-05    0.0013968175413979873     6.931447098056585e-05     
Lambda        AB|PS|PS_r                4726.974188159714    All      -3.1241369108738685e-05    -2.7041850036707524e-05    -0.0002181221816764767    -8.365869647441743e-06    
Lambda        AB|PS|PS_z                6579.869563107484    All      -0.0005118843708522713     -4.3968253417862687e-05    -0.0010826010899840633    0.00010410415899237523    
Lambda        AB|PS|PS_g                3722.225885729506    All      -0.0011912776910719953     0.0005285472983605952      -0.0018723146307936518    0.0004766507768774789     
MWEBV         All|All|All               All                  All      -0.48983135901302655       -2.8237399583382228        0.03708594238595412       -0.7585758388333291       
Redshift      All|All|All               All                  All      4.279467394154931          0.3961930046383344         -5.7051400171791125       -1.5195044208046042       
