#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                5725.389494337381    All      0.5607004695690734         0.1192171695576505         -2.709195174999124         -0.2647045729597078        
Zeropoint     AB|PS|PS_r                4726.974188159714    All      0.37662584580517766        0.3795006842405968         1.8162261669089297         0.08198626166187051        
Zeropoint     AB|PS|PS_z                6579.869563107484    All      0.9595721643181062         0.039542328086739076       1.6453782766673086         -0.22625831020454262       
Zeropoint     AB|PS|PS_g                3722.225885729506    All      -0.9082451992290659        0.46185180339239906        -0.7499009779160737        0.4128210321325612         
Check         All|All|All               All                  All      0.9886532804632914         1.0001119852773854         0.0025082906610407463      0.0038444106301813163      
Lambda        AB|PS|PS_i                5725.389494337381    All      -0.0002718755495235195     -8.925643378245521e-05     0.0008219527036148952      9.616502805742831e-05      
Lambda        AB|PS|PS_r                4726.974188159714    All      -8.376469704317968e-05     -5.305501630528427e-05     -0.00032031825140802904    -4.2911790570047496e-06    
Lambda        AB|PS|PS_z                6579.869563107484    All      -0.00046274067401294117    -1.7912028195784284e-05    -0.0004028665550179966     0.0001269172403191177      
Lambda        AB|PS|PS_g                3722.225885729506    All      -0.0011713576051302923     0.00048265701379539885     -0.0020777100113903153     0.0004460483216173348      
MWEBV         All|All|All               All                  All      -0.5088284340309763        -2.8165097066572997        0.043878991715229354       -0.7497295930818687        
Redshift      All|All|All               All                  All      6.082859105427998          0.9255201436339178         2.9787805076000096         -1.546985678258267         
