#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6806.6372146910435    All      0.825632932665418          0.062320387721648274      1.6471694332921727        -0.1751304014927499        
Zeropoint     AB|PS|PS_g                3850.508128207847     All      -0.7186209571658742        0.5760143119044159        0.6275752731451423        0.4497111014629233         
Zeropoint     AB|PS|PS_r                4889.883927549568     All      0.10097592101583133        0.2970019830137005        -0.10196270118916217      0.059302010402265126       
Zeropoint     AB|PS|PS_i                5922.708471192433     All      0.788511353347104          0.06345442962043535       -2.1717596428940222       -0.33309055205314325       
Check         All|All|All               All                   All      0.9964992498624793         0.9987911122602           0.001022362354130557      0.0007921583192952997      
Lambda        AB|PS|PS_z                6806.6372146910435    All      -0.0007526430937138273     -5.934843017442163e-05    -0.0014671415291509858    0.00016035709252303602     
Lambda        AB|PS|PS_g                3850.508128207847     All      -0.000919621930911965      0.0006505157818160918     7.130381420823788e-05     0.0005146274707734807      
Lambda        AB|PS|PS_r                4889.883927549568     All      -0.00010215462826228521    -4.288528268854458e-05    -0.0011814994361705178    -3.3418917648736266e-05    
Lambda        AB|PS|PS_i                5922.708471192433     All      -7.167956960417573e-05     1.613440769544812e-05     0.0006760399489797019     5.877245938431369e-05      
MWEBV         All|All|All               All                   All      -0.48071440210141514       -2.9796810145519714       0.10216053890184096       -0.8094366835899036        
Redshift      All|All|All               All                   All      6.396840763853488          0.7465869336424902        18.612436057223825        -1.0098860229222586        
