#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6806.6372146910435    All      0.8336419814380601         0.06881133191285471        1.816670094354074         -0.16806086208426624      
Zeropoint     AB|PS|PS_g                3850.508128207847     All      -0.7292204528053275        0.5409821368564494         0.45722064344262925       0.43415042925518477       
Zeropoint     AB|PS|PS_r                4889.883927549568     All      0.09692936341918679        0.3246134568952286         -0.3258730508519703       0.059621982250593446      
Zeropoint     AB|PS|PS_i                5922.708471192433     All      0.7954376515935424         0.06424055024218944        -1.9422958715906775       -0.32485069568706054      
Check         All|All|All               All                   All      0.9967885436454618         0.9986474759067221         0.0057218153540552485     0.0008608537344514389     
Lambda        AB|PS|PS_z                6806.6372146910435    All      -0.000655540467625789      -5.0636407720953856e-05    -0.0012918617845276527    0.00013938729492656246    
Lambda        AB|PS|PS_g                3850.508128207847     All      -0.0007917123989084218     0.0005484021540420673      3.443100002304879e-05     0.0004380558957503736     
Lambda        AB|PS|PS_r                4889.883927549568     All      -0.00018133172800851137    -5.105046457291693e-05     -0.001342095272368136     -1.74546543579284e-05     
Lambda        AB|PS|PS_i                5922.708471192433     All      -9.29433466850278e-05      -2.6230225683689104e-07    0.0006824902004290685     6.064566836709228e-05     
MWEBV         All|All|All               All                   All      -0.48908857369220415       -2.9775984538257916        0.09814214537870594       -0.8062099043051156       
Redshift      All|All|All               All                   All      5.723685746523179          0.8112876571200189         14.16638401341681         -0.9679490161449698       
