#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                5783.190749653061    All      0.9737236988966621         -0.06707355925854586       -1.7686539491585884        -0.4179488108110536       
Zeropoint     AB|PS|PS_r                4774.695839619528    All      -0.33316873585967577       0.6306525092409032         0.4447198650564199         0.33379409335938387       
Zeropoint     AB|PS|PS_g                3759.803997921956    All      -0.5035895170883811        0.38479357249556756        0.31358888998563317        0.30336963111139426       
Zeropoint     AB|PS|PS_z                6646.297309366007    All      0.858347599790265          0.05074353090144257        1.0130935951749742         -0.21785350043969087      
Check         All|All|All               All                  All      0.9953130457388704         0.9991160533793675         0.0027484010584388763      0.001361413220033636      
Lambda        AB|PS|PS_i                5783.190749653061    All      -0.00034409953476246294    2.3678132308310124e-05     0.0007299694311746001      0.00015237246877579586    
Lambda        AB|PS|PS_r                4774.695839619528    All      -0.00015179259339965102    0.00011481173641461624     -0.00013191625354319625    8.095498471623759e-05     
Lambda        AB|PS|PS_g                3759.803997921956    All      -0.0011116297374651972     0.0006762042111513404      -0.0002104902229600638     0.0005729631231501657     
Lambda        AB|PS|PS_z                6646.297309366007    All      -0.0007856908209770337     -5.3530856247038933e-05    -0.0010808605952114993     0.0001902547437088011     
MWEBV         All|All|All               All                  All      -0.4574210026804453        -2.881725084069231         0.0509994858505336         -0.7873997237222353       
Redshift      All|All|All               All                  All      6.319782464029771          -0.40242169506967684       -1.4834571663938922        -2.255842928630427        
