#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5783.190749653061    All      1.037275058006237         -0.03155203755600411      -1.4404200769665136       -0.41243148081649955      
Zeropoint     AB|PS|PS_r                4774.695839619528    All      -0.29115666600654255      0.5664035999092931        0.18310082850312082       0.2875065405279359        
Zeropoint     AB|PS|PS_g                3759.803997921956    All      -0.6089065443199468       0.4015827968848029        0.17477323981916307       0.33694894953093657       
Zeropoint     AB|PS|PS_z                6646.297309366007    All      0.8580747205949353        0.06253036541750134       1.0848357552733396        -0.21072373182572848      
Check         All|All|All               All                  All      0.9952865682746829        0.9989647246555933        0.0022897466291098567     0.0013002774166444298     
Lambda        AB|PS|PS_i                5783.190749653061    All      -0.0003497669881928934    8.245628200310605e-05     0.0010965457548052018     0.0001897231396105251     
Lambda        AB|PS|PS_r                4774.695839619528    All      -8.361382636759871e-05    3.104569722212028e-05     -0.0003838559745936093    2.0218649860063357e-05    
Lambda        AB|PS|PS_g                3759.803997921956    All      -0.0011016100851477155    0.0006712543223289565     0.00010108993500925972    0.0005819914425319025     
Lambda        AB|PS|PS_z                6646.297309366007    All      -0.0007663136957381463    -3.641066069000282e-05    -0.0009472197454737206    0.0001954833647942162     
MWEBV         All|All|All               All                  All      -0.4583036445459352       -2.88448617050161         0.031100574483039923      -0.7888995919385988       
Redshift      All|All|All               All                  All      6.372271698843091         -0.27388158058947454      -2.1467810848354527       -2.2606717550667828       
