#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3058.029980173636    All      -0.13717065945991702       0.06592667251563711       0.135765799379034          0.07221408680471719       
Zeropoint     AB|SDSS|SDSS_i            6371.926980835955    All      1.097176344445938          0.02533638251005499       -0.048165977682235184      -0.35128296445548834      
Zeropoint     AB|SDSS|SDSS_r            5254.44008102403     All      0.6829505419323707         0.334121913457075         -0.22321731880203255       -0.12358612415347692      
Zeropoint     AB|SDSS|SDSS_z            7575.690024966038    All      0.13454676013833922        -0.0027654539731969408    0.060988700755471026       -0.04200545997004451      
Zeropoint     AB|SDSS|SDSS_g            4021.149331970186    All      -0.755720507525235         0.5660341869841545        0.05734318497568336        0.4330979514172828        
Check         All|All|All               All                  All      1.0217824795314958         0.9886537014937247        -0.017285611374079357      -0.011562510357009781     
Lambda        AB|SDSS|SDSS_u            3058.029980173636    All      -7.092364355890349e-05     3.3189765522658485e-05    7.256513795972892e-05      3.715141139480288e-05     
Lambda        AB|SDSS|SDSS_i            6371.926980835955    All      -0.00030869426967344664    -3.672142550496974e-05    -0.0004760410232946715     6.734697849417164e-05     
Lambda        AB|SDSS|SDSS_r            5254.44008102403     All      0.0002456522069600695      6.908556501213278e-05     -0.0004731211685513347     -7.862678893793797e-05    
Lambda        AB|SDSS|SDSS_z            7575.690024966038    All      -1.2177898199652178e-05    -2.679171435555088e-06    -3.4791774456695496e-05    1.5414507047328358e-06    
Lambda        AB|SDSS|SDSS_g            4021.149331970186    All      -0.0006332038830151752     0.0003106029228697911     -0.0011050447986192475     0.0002581158529231692     
MWEBV         All|All|All               All                  All      -0.7026092211673509        -3.2590482711746915       0.288345288653058          -0.819848777023411        
Redshift      All|All|All               All                  All      5.299659009974739          -0.2385946054189958       -2.6462678352170976        -1.9220821852828918       
